公告日期,代码,公告类型,标题,来源,链接,事件类型
2026-08-19 17:30:00,000582,证券新闻,65股今日获机构买入评级,证券时报网,http://finance.eastmoney.com/a/202608193846371590.html,证券新闻
2026-08-19 16:39:00,000582,证券新闻,1.62亿元主力资金今日抢筹交通运输板块,证券时报网,http://finance.eastmoney.com/a/202608193846304789.html,证券新闻
2026-08-19 15:29:51,000582,证券新闻,北部湾港主力资金净流出5477.3万元 短期情绪偏空但长期逻辑稳固,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260819160900b697dbdd&s=b,证券新闻
2026-08-19 11:21:00,000582,证券新闻,社保基金长线坚守21只股（附股）,证券时报网,http://finance.eastmoney.com/a/202608193845938875.html,证券新闻
2026-08-19 11:01:00,000582,证券新闻,社保基金二季度重仓股揭秘：新进29股 增持23股,证券时报网,http://finance.eastmoney.com/a/202608193845357419.html,证券新闻
2026-08-19 09:30:39,000582,证券新闻,北部湾港8月18日获融资净买入765万元 环比增加240.42%,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260819095817a70aea09&s=b,证券新闻
2026-08-19 09:15:38,000582,证券新闻,北部湾港2026H1归母净利润+5%，静待吞吐量复苏,国海证券,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081909424594de1dce&s=b,证券新闻
2026-08-19 08:03:10,000582,证券新闻,北部湾港集团与宁德时代交流座谈,E公司,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081908031098c77c16&s=b,证券新闻
2026-08-19 06:08:10,000582,证券新闻,北部湾港2026年中报简析：营收净利润同比双双增长，公司应收账款体量较大,证券之星,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260819061056b6971472&s=b,证券新闻
2026-08-18 23:18:46,000582,证券新闻,北部湾港：上半年收入36.9亿，净利5.6亿，市值276亿,快递生态圈,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081823312598c711f6&s=b,证券新闻
2026-08-18 17:30:28,000582,证券新闻,北部湾港：公司《2026年半年度报告（全文和摘要）》已于2026年8月18日刊登,证星董秘互动,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081817373094dd18e8&s=b,证券新闻
2026-08-18 15:59:00,000582,证券新闻,北部湾港半年报出炉,港口圈,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN202608181621329741ecb3&s=b,证券新闻
2026-08-18 15:22:07,000582,证券新闻,北部湾港截止06月30日股东人数8.78万户，人均持股2.46万股,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081815344898c668c9&s=b,证券新闻
2026-08-18 15:17:34,000582,证券新闻,北部湾港主力资金净流出385.5万 短期抛压与游资接筹博弈震荡,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260818151853a4b31ec2&s=b,证券新闻
2026-08-18 11:38:00,000582,证券新闻,社保基金长线坚守36只股（附股）,证券时报网,http://finance.eastmoney.com/a/202608183844363515.html,证券新闻
2026-08-18 10:27:00,000582,证券新闻,北部湾港(000582.SZ)2026年中报净利润为5.58亿元、较去年同期上涨5.09%,界面新闻,http://finance.eastmoney.com/a/202608183844318128.html,证券新闻
2026-08-18 09:30:37,000582,证券新闻,北部湾港8月17日获融资净买入224万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081809541498c5f9c7&s=b,证券新闻
2026-08-18 09:08:54,000582,证券新闻,北部湾港(000582.SZ)：2026年中报净利润为5.58亿元、同比较去年同期上涨5.09%,界面新闻,http://finance.eastmoney.com/a/202608183844096576.html,证券新闻
2026-08-18 08:58:00,000582,证券新闻,13股二季度获社保基金扎堆持有,证券时报网,http://finance.eastmoney.com/a/202608183844084895.html,证券新闻
2026-08-18 08:57:00,000582,证券新闻,北部湾港集团拜访厦门国贸和安通控股 围绕通道物流、港航合作等开展深入交流,南方财经网,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260818091430a4b2a308&s=b,证券新闻
2026-08-18 00:00:00,000582,证券新闻,北部湾港：货种优化筑牢经营底盘 运河引流打开成长空间,财通证券,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260819083710b6973d1d&s=b,证券新闻
2026-08-17 23:10:43,000582,证券新闻,北部湾港：北海港铁山港西港区北暮作业区南4号南5号泊位工程延期,公司公告,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260817231843a4b21a02&s=b,证券新闻
2026-08-17 22:29:00,000582,证券新闻,北部湾港：上半年净利同比增长5.09%至5.58亿元 经营质量稳步提升,中国财富通,http://finance.eastmoney.com/a/202608173843569538.html,证券新闻
2026-08-17 22:03:04,000582,证券新闻,北部湾港：2026年上半年净利润同比增长5.09% 拟10派0.78元,中国证券报·中证网,http://finance.eastmoney.com/a/202608173843549230.html,证券新闻
2026-08-17 20:56:15,000582,证券新闻,北部湾港：董事会审议通过《关于审议2026年度中期利润分配方案的预案》等议案,公司公告,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260817211002a4b1f259&s=b,证券新闻
2026-08-17 20:06:30,000582,公告/事件,北部湾港中期每10股派0.78元，分红率35.19%,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081720070497409208&s=b,公告/事件
2026-08-17 19:46:00,000582,证券新闻,北部湾港：上半年净利润同比增长5.09% 拟10派0.78元,证券时报网,http://finance.eastmoney.com/a/202608173843394188.html,证券新闻
2026-08-17 19:43:30,000582,证券新闻,北部湾港半年报：扣非净利降3.46%，Q2增速放缓,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081719442497408a8e&s=b,证券新闻
2026-08-17 19:41:13,000582,证券新闻,北部湾港：2026年度中期拟每10股派发现金红利0.78元,公司公告,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260817195407a4b1d922&s=b,证券新闻
2026-08-17 19:38:00,000582,证券新闻,北部湾港：拟使用不超3.00亿元部分闲置募集资金临时补充流动资金,21世纪经济报道,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260817193940a4b1d4b0&s=b,证券新闻
