日期,是否市场开市,是否有行情,是否停牌,是否可交易,复牌首日,距离上次交易日天数,是否生成次日收益标签,数据质量状态
2016-01-04,True,True,False,True,False,,True,正常
2016-01-05,True,True,False,True,False,1,True,正常
2016-01-06,True,True,False,True,False,1,True,正常
2016-01-07,True,True,False,True,False,1,True,正常
2016-01-08,True,True,False,True,False,1,True,正常
2016-01-11,True,True,False,True,False,3,True,正常
2016-01-12,True,True,False,True,False,1,True,正常
2016-01-13,True,True,False,True,False,1,True,正常
2016-01-14,True,True,False,True,False,1,True,正常
2016-01-15,True,True,False,True,False,1,True,正常
2016-01-18,True,True,False,True,False,3,True,正常
2016-01-19,True,True,False,True,False,1,True,正常
2016-01-20,True,True,False,True,False,1,True,正常
2016-01-21,True,True,False,True,False,1,True,正常
2016-01-22,True,True,False,True,False,1,True,正常
2016-01-25,True,True,False,True,False,3,True,正常
2016-01-26,True,True,False,True,False,1,True,正常
2016-01-27,True,True,False,True,False,1,True,正常
2016-01-28,True,True,False,True,False,1,True,正常
2016-01-29,True,True,False,True,False,1,True,正常
2016-02-01,True,True,False,True,False,3,True,正常
2016-02-02,True,True,False,True,False,1,True,正常
2016-02-03,True,True,False,True,False,1,True,正常
2016-02-04,True,True,False,True,False,1,True,正常
2016-02-05,True,True,False,True,False,1,True,正常
2016-02-15,True,True,False,True,False,10,True,正常
2016-02-16,True,True,False,True,False,1,True,正常
2016-02-17,True,True,False,True,False,1,True,正常
2016-02-18,True,True,False,True,False,1,True,正常
2016-02-19,True,True,False,True,False,1,True,正常
2016-02-22,True,True,False,True,False,3,True,正常
2016-02-23,True,True,False,True,False,1,True,正常
2016-02-24,True,True,False,True,False,1,True,正常
2016-02-25,True,True,False,True,False,1,True,正常
2016-02-26,True,True,False,True,False,1,False,正常
2016-02-29,True,False,,False,False,3,False,市场开市但无行情
2016-03-01,True,False,,False,False,4,False,市场开市但无行情
2016-03-02,True,False,,False,False,5,False,市场开市但无行情
2016-03-03,True,False,,False,False,6,False,市场开市但无行情
2016-03-04,True,False,,False,False,7,False,市场开市但无行情
2016-03-07,True,False,,False,False,10,False,市场开市但无行情
2016-03-08,True,False,,False,False,11,False,市场开市但无行情
2016-03-09,True,False,,False,False,12,False,市场开市但无行情
2016-03-10,True,False,,False,False,13,False,市场开市但无行情
2016-03-11,True,False,,False,False,14,False,市场开市但无行情
2016-03-14,True,False,,False,False,17,False,市场开市但无行情
2016-03-15,True,False,,False,False,18,False,市场开市但无行情
2016-03-16,True,False,,False,False,19,False,市场开市但无行情
2016-03-17,True,False,,False,False,20,False,市场开市但无行情
2016-03-18,True,False,,False,False,21,False,市场开市但无行情
2016-03-21,True,False,,False,False,24,False,市场开市但无行情
2016-03-22,True,False,,False,False,25,False,市场开市但无行情
2016-03-23,True,False,,False,False,26,False,市场开市但无行情
2016-03-24,True,False,,False,False,27,False,市场开市但无行情
2016-03-25,True,False,,False,False,28,False,市场开市但无行情
2016-03-28,True,False,,False,False,31,False,市场开市但无行情
2016-03-29,True,False,,False,False,32,False,市场开市但无行情
2016-03-30,True,False,,False,False,33,False,市场开市但无行情
2016-03-31,True,False,,False,False,34,False,市场开市但无行情
2016-04-01,True,False,,False,False,35,False,市场开市但无行情
2016-04-05,True,False,,False,False,39,False,市场开市但无行情
2016-04-06,True,False,,False,False,40,False,市场开市但无行情
2016-04-07,True,False,,False,False,41,False,市场开市但无行情
2016-04-08,True,False,,False,False,42,False,市场开市但无行情
2016-04-11,True,False,,False,False,45,False,市场开市但无行情
2016-04-12,True,False,,False,False,46,False,市场开市但无行情
2016-04-13,True,False,,False,False,47,False,市场开市但无行情
2016-04-14,True,False,,False,False,48,False,市场开市但无行情
2016-04-15,True,False,,False,False,49,False,市场开市但无行情
2016-04-18,True,False,,False,False,52,False,市场开市但无行情
2016-04-19,True,False,,False,False,53,False,市场开市但无行情
2016-04-20,True,False,,False,False,54,False,市场开市但无行情
2016-04-21,True,False,,False,False,55,False,市场开市但无行情
2016-04-22,True,False,,False,False,56,False,市场开市但无行情
2016-04-25,True,False,,False,False,59,False,市场开市但无行情
2016-04-26,True,False,,False,False,60,False,市场开市但无行情
2016-04-27,True,False,,False,False,61,False,市场开市但无行情
2016-04-28,True,False,,False,False,62,False,市场开市但无行情
2016-04-29,True,False,,False,False,63,False,市场开市但无行情
2016-05-03,True,False,,False,False,67,False,市场开市但无行情
2016-05-04,True,False,,False,False,68,False,市场开市但无行情
2016-05-05,True,False,,False,False,69,False,市场开市但无行情
2016-05-06,True,False,,False,False,70,False,市场开市但无行情
2016-05-09,True,False,,False,False,73,False,市场开市但无行情
2016-05-10,True,False,,False,False,74,False,市场开市但无行情
2016-05-11,True,False,,False,False,75,False,市场开市但无行情
2016-05-12,True,False,,False,False,76,False,市场开市但无行情
2016-05-13,True,False,,False,False,77,False,市场开市但无行情
2016-05-16,True,False,,False,False,80,False,市场开市但无行情
2016-05-17,True,False,,False,False,81,False,市场开市但无行情
2016-05-18,True,False,,False,False,82,False,市场开市但无行情
2016-05-19,True,False,,False,False,83,False,市场开市但无行情
2016-05-20,True,False,,False,False,84,False,市场开市但无行情
2016-05-23,True,False,,False,False,87,False,市场开市但无行情
2016-05-24,True,False,,False,False,88,False,市场开市但无行情
2016-05-25,True,False,,False,False,89,False,市场开市但无行情
2016-05-26,True,False,,False,False,90,False,市场开市但无行情
2016-05-27,True,False,,False,False,91,False,市场开市但无行情
