日期,原始开盘价,原始最高价,原始最低价,原始收盘价,昨日收盘价,成交量,成交额,换手率,振幅,复权因子,前复权收盘价,涨停价,跌停价,是否停牌_x,是否可交易_x,是否市场开市,是否有行情,是否停牌_y,是否可交易_y,复牌首日,距离上次交易日天数,是否生成次日收益标签,数据质量状态
2016-01-04,22.5,22.67,20.26,20.26,22.51,3720042.0,78243700.0,2.62,10.71,0.687562,13.93,24.76,20.26,False,True,True,True,False,True,False,,True,正常
2016-01-05,19.3,19.6,18.42,19.4,20.26,5100525.0,97226600.0,3.59,5.82,0.684021,13.27,22.29,18.23,False,True,True,True,False,True,False,1,True,正常
2016-01-06,19.39,19.78,19.13,19.7,19.4,3524016.0000000005,68659500.0,2.48,3.35,0.685279,13.5,21.34,17.46,False,True,True,True,False,True,False,1,True,正常
2016-01-07,19.38,19.38,17.73,17.73,19.7,1100658.0,19991900.0,0.77,8.38,0.676255,11.99,21.67,17.73,False,True,True,True,False,True,False,1,True,正常
2016-01-08,18.3,18.53,16.1,18.5,17.73,4665959.0,82791700.0,3.28,13.71,0.68,12.58,19.5,15.96,False,True,True,True,False,True,False,1,True,正常
2016-01-11,17.8,18.17,16.72,16.76,18.5,3175589.0,55579600.0,2.24,7.84,0.670644,11.24,20.35,16.65,False,True,True,True,False,True,False,3,True,正常
2016-01-12,16.78,17.39,15.9,16.39,16.76,2708522.0,44904200.0,1.91,8.89,0.6687,10.96,18.44,15.08,False,True,True,True,False,True,False,1,True,正常
2016-01-13,16.41,16.71,15.8,15.82,16.39,2259907.0,36999800.0,1.59,5.55,0.664981,10.52,18.03,14.75,False,True,True,True,False,True,False,1,True,正常
2016-01-14,15.49,16.4,15.15,16.3,15.82,2061467.0,32775900.0,1.45,7.9,0.668098,10.89,17.4,14.24,False,True,True,True,False,True,False,1,True,正常
2016-01-15,16.2,16.68,15.65,15.98,16.3,2397285.0,38823500.0,1.69,6.32,0.665832,10.64,17.93,14.67,False,True,True,True,False,True,False,1,True,正常
