报告期,首次公告日期,修订日期,营业收入,净利润,扣非净利润,ROE,毛利率,资产负债率,经营现金流,数据来源
2026-06-30,2026-08-18,2026-08-18,3585508858.34,557882719.81,455581452.12,2.77,31.5636269864,43.5213899327,0.514730575225,Tencent/Eastmoney
2026-03-31,2026-04-28,2026-04-28,1725821441.95,229334824.75,204291598.45,1.16,30.4857076399,43.3316349397,0.299222482024,Tencent/Eastmoney
2025-12-31,2026-03-31,2026-03-31,7613959063.58,1038024485.4,927153527.79,5.64,30.2646553001,45.9523340113,1.292644390859,Tencent/Eastmoney
2025-09-30,2025-10-28,2025-10-28,5535299448.28,788714267.39,725194970.39,4.32,31.310271916,43.753537252,0.940134155534,Tencent/Eastmoney
2025-06-30,2025-08-23,2026-08-18,3555785138.62,530883264.32,471911400.43,2.95,31.5761532064,43.4748502592,0.610439497524,Tencent/Eastmoney
2025-03-31,2025-04-29,2026-04-28,1643217036.75,196123506.2,182926017.14,1.11,29.7368979917,44.5308361131,0.4352211012,Tencent/Eastmoney
2024-12-31,2025-04-25,2026-03-31,7003254738.88,1219079731.96,874479453.12,7.48,32.0662998292,44.5956003118,0.917949980346,Tencent/Eastmoney
2024-09-30,2024-10-25,2025-10-28,4902091246.8,915943906.8,591388481.87,5.78,31.0909474389,44.2493549363,0.672220656963,Tencent/Eastmoney
2024-06-30,2024-08-24,2025-08-23,3189028451.3,629723707.01,366586140.09,4.17,31.3255731623,44.8837588298,0.450145971473,Tencent/Eastmoney
2024-03-31,2024-04-30,2025-04-29,1539600287.15,391215871.17,176151863.65,2.83,31.7992078097,51.6650678667,0.215017874817,Tencent/Eastmoney
2023-12-31,2024-04-30,2025-04-25,6949606334.66,1126863205.74,1035833178.19,8.04,33.8033872672,52.5384914109,1.216294210232,Tencent/Eastmoney
2023-09-30,2023-10-27,2024-10-25,4895682728.6,847627784.77,732082054.08,6.36,34.5209581807,50.966995083,0.882339341179,Tencent/Eastmoney
2023-06-30,2023-08-29,2024-08-24,3176078831.91,604976461.74,500098214.55,4.58,35.8070749549,50.3013542433,0.512611499763,Tencent/Eastmoney
2023-03-31,2023-04-27,2024-04-30,1513986707.96,237911659.15,233861656.92,1.83,35.1698492094,49.101255902,0.096074646402,Tencent/Eastmoney
2022-12-31,2023-04-13,2024-04-30,6378855303.83,1020027701.71,911207903.56,7.86,34.1698240841,48.0479442316,1.465877280934,Tencent/Eastmoney
2022-09-30,2022-10-27,2023-10-27,4554324144.47,775870114.62,696675123.92,6.39,34.3009574265,49.1012480822,0.978882720488,Tencent/Eastmoney
2022-06-30,2022-08-20,2023-08-29,3017053757.86,553882164.75,494529942.47,4.75,35.6807915903,48.8091920207,0.72613780412,Tencent/Eastmoney
2022-03-31,2022-04-27,2023-04-27,1391507551.12,233748604.39,229437634.51,2.04,35.4415020539,51.9219319027,0.217927706045,Tencent/Eastmoney
2021-12-31,2022-04-12,2023-04-13,5907876058.42,1020414819.44,981752790.29,8.85,35.8166972393,51.0806952589,0.892218488021,Tencent/Eastmoney
2021-09-30,2021-10-28,2022-10-27,4130429395.1,744505201.97,714334704.36,6.52,35.9700092686,48.9095595413,0.522477473779,Tencent/Eastmoney
2021-06-30,2021-08-24,2022-08-20,2692434085.59,513497224.08,491685959.12,4.84,37.2196863969,39.428008728,0.211866574047,Tencent/Eastmoney
2021-03-31,2021-04-27,2022-04-27,1248927326.54,231738368.11,224323255.47,2.21,36.6503347715,37.9859884197,0.044240605396,Tencent/Eastmoney
2020-12-31,2021-04-13,2022-04-12,5362563703.1,1075507271.13,1061163955.66,10.2,38.3899617938,40.2940711192,1.427182250012,Tencent/Eastmoney
2020-09-30,2020-10-28,2021-10-28,3815538100.16,836727809.68,817190499.78,8.0,40.364854354,41.4726273426,0.658185504338,Tencent/Eastmoney
2020-06-30,2020-08-20,2021-08-24,2423635259.8,523503710.31,512192523.12,5.4,41.2537528643,41.036440315,0.477768224357,Tencent/Eastmoney
2020-03-31,2020-04-28,2021-04-27,1127946741.7,249281238.4,241033351.88,2.6,41.2559074889,39.2952135341,0.07690810145,Tencent/Eastmoney
2019-12-31,2020-04-18,2021-04-13,4792337278.33,984227007.06,968993663.97,10.33,38.8599863474,40.9544923219,0.949736685977,Tencent/Eastmoney
2019-09-30,2019-10-26,2020-10-28,3360697325.46,721304880.79,708859093.39,7.66,38.8022592362,35.9599950322,0.743716210753,Tencent/Eastmoney
2019-06-30,2019-08-24,2020-08-20,2216476491.07,473661575.22,468621104.31,5.04,39.6494564648,36.7434051867,0.436279440271,Tencent/Eastmoney
2019-03-31,2019-04-30,2020-04-28,1044684933.57,219255333.8,217522701.81,2.35,40.0553816154,37.7818585,0.057349568274,Tencent/Eastmoney
2018-12-31,2019-04-24,2020-04-18,4223369693.98,637676805.95,661479741.52,8.01,36.6916220015,39.2408969832,1.121248773274,Tencent/Eastmoney
2018-09-30,2018-10-27,2019-10-26,3012898817.36,502280085.71,490544650.79,6.88,38.1728571429,45.2200874685,0.83480813837,Tencent/Eastmoney
2018-06-30,2018-08-15,2019-08-24,1915374131.17,332728679.12,331695906.55,4.59,38.5655179993,45.3838354946,0.417608598682,Tencent/Eastmoney
2018-03-31,2018-04-27,2019-04-30,893188659.66,148858220.33,147696112.87,2.06,38.1568432295,45.3953320286,0.140393493167,Tencent/Eastmoney
2017-12-31,2018-03-13,2019-04-24,3711237197.86,595079122.98,549254689.61,8.22,36.4309358663,46.4626674345,1.143502566482,Tencent/Eastmoney
2017-09-30,2017-10-27,2018-10-27,2574933161.38,492342987.86,438477308.62,6.75,38.044170612,41.1954105033,0.826280324498,Tencent/Eastmoney
2017-06-30,2017-08-12,2018-08-15,1658767719.72,328584654.45,329834452.4,4.78,39.2773814202,38.1858084729,0.453295391731,Tencent/Eastmoney
