日期,标的代码,标的名称,收盘价,涨跌幅
2026-05-19,BK0450,港口航运,12306.73,
2026-05-20,BK0450,港口航运,12257.73,-0.3982
2026-05-21,BK0450,港口航运,12222.6,-0.2866
2026-05-22,BK0450,港口航运,12180.89,-0.3413
2026-05-25,BK0450,港口航运,12166.19,-0.1207
2026-05-26,BK0450,港口航运,12041.64,-1.0237
2026-05-27,BK0450,港口航运,11789.91,-2.0905
2026-05-28,BK0450,港口航运,11753.8,-0.3063
2026-05-29,BK0450,港口航运,11783.27,0.2507
2026-06-01,BK0450,港口航运,12011.62,1.9379
2026-06-02,BK0450,港口航运,11935.07,-0.6373
2026-06-03,BK0450,港口航运,11833.97,-0.8471
2026-06-04,BK0450,港口航运,11713.52,-1.0178
2026-06-05,BK0450,港口航运,11820.1,0.9099
2026-06-08,BK0450,港口航运,11477.98,-2.8944
2026-06-09,BK0450,港口航运,11383.83,-0.8203
2026-06-10,BK0450,港口航运,11278.04,-0.9293
2026-06-11,BK0450,港口航运,11177.26,-0.8936
2026-06-12,BK0450,港口航运,11423.35,2.2017
2026-06-15,BK0450,港口航运,11823.31,3.5012
2026-06-16,BK0450,港口航运,11544.62,-2.3571
2026-06-17,BK0450,港口航运,11597.28,0.4561
2026-06-18,BK0450,港口航运,11417.98,-1.5461
2026-06-22,BK0450,港口航运,11503.9,0.7525
2026-06-23,BK0450,港口航运,11581.38,0.6735
2026-06-24,BK0450,港口航运,11514.46,-0.5778
2026-06-25,BK0450,港口航运,11295.52,-1.9014
2026-06-26,BK0450,港口航运,11013.47,-2.497
2026-06-29,BK0450,港口航运,10946.49,-0.6082
2026-06-30,BK0450,港口航运,10747.68,-1.8162
2026-07-01,BK0450,港口航运,10952.0,1.9011
2026-07-02,BK0450,港口航运,11052.51,0.9177
2026-07-03,BK0450,港口航运,11178.03,1.1357
2026-07-06,BK0450,港口航运,11307.69,1.16
2026-07-07,BK0450,港口航运,11053.51,-2.2479
2026-07-08,BK0450,港口航运,10987.47,-0.5975
2026-07-09,BK0450,港口航运,10951.14,-0.3306
2026-07-10,BK0450,港口航运,11083.57,1.2093
2026-07-13,BK0450,港口航运,11055.25,-0.2555
2026-07-14,BK0450,港口航运,11291.04,2.1328
2026-07-15,BK0450,港口航运,11427.63,1.2097
2026-07-16,BK0450,港口航运,11291.95,-1.1873
2026-07-17,BK0450,港口航运,11249.9,-0.3724
2026-07-20,BK0450,港口航运,11342.9,0.8267
2026-07-21,BK0450,港口航运,11302.63,-0.355
2026-07-22,BK0450,港口航运,11455.44,1.352
2026-07-23,BK0450,港口航运,11595.67,1.2241
2026-07-24,BK0450,港口航运,11428.84,-1.4387
2026-07-27,BK0450,港口航运,11527.08,0.8596
2026-07-28,BK0450,港口航运,11561.17,0.2957
2026-07-29,BK0450,港口航运,11736.55,1.517
2026-07-30,BK0450,港口航运,11830.68,0.802
2026-07-31,BK0450,港口航运,11884.55,0.4553
2026-08-03,BK0450,港口航运,12057.78,1.4576
2026-08-04,BK0450,港口航运,11931.3,-1.0489
2026-08-05,BK0450,港口航运,12025.39,0.7886
2026-08-06,BK0450,港口航运,11949.14,-0.6341
2026-08-07,BK0450,港口航运,11879.97,-0.5789
2026-08-10,BK0450,港口航运,12044.47,1.3847
2026-08-11,BK0450,港口航运,11854.79,-1.5748
2026-08-12,BK0450,港口航运,11906.73,0.4381
2026-08-13,BK0450,港口航运,11808.1,-0.8284
2026-08-14,BK0450,港口航运,11706.62,-0.8594
2026-08-17,BK0450,港口航运,11918.6,1.8108
2026-08-18,BK0450,港口航运,12015.21,0.8106
2026-08-19,BK0450,港口航运,12058.64,0.3615

