报告期,证券代码,证券名称,机构代码,机构名称,机构类型,基金公司,持股数量,持股市值,占总股本比例,占流通股比例,净资产比例,数据来源
2026-06-30,000582,北部湾港,73103722,广东粤财信托有限公司-粤财信托·粤中3号单一资金信托计划,信托,,6374800,68401604.0,0.25326127,0.2955609,,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,73008468,平安基金-平安银行-中融国际信托-中融-财富1号结构化集合资金信托,信托,,22473002,241135311.46,0.89281874,1.04193711,,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,70414939,南方基金稳健增值混合型养老金产品-招商银行股份有限公司,其他,,7131007,76515705.11,0.28330424,0.33062164,,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,70010413,全国社保基金四一三组合,社保,,7920000,84981600.0,0.31464975,0.36720247,,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,161713,招商信用添利债券(LOF)A,基金,招商基金管理有限公司,836335,8973874.55,0.03322634,0.03877579,0.45,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,10671586,香港中央结算有限公司,其他,,19446559,208661578.07,0.77258269,0.90161926,,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,10119468,广西产投资本运营集团有限公司,其他,,28506422,305873908.06,1.13251749,1.32167028,,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,10102635,广西北部湾国际港务集团有限公司,其他,,1300340832,13952657127.36,37.35700174,43.59635894,,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,10013673,上海中海码头发展有限公司,其他,,268145692,2877203275.16,10.65302711,12.43229306,,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,10000758720,湖北省新活力上市高质量一号投资合伙企业(有限合伙),其他,,6326572,67884117.56,0.25134524,0.29332486,,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,10000283948,芜湖信达降杠杆投资管理合伙企业(有限合伙),其他,,11289887,121140487.51,0.44853032,0.52344374,,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,020645,南方智弘混合A,基金,南方基金管理股份有限公司,897900,9634467.0,0.03567222,0.04163019,2.53,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,013726,惠升惠诚稳健一年持有期混合A,基金,惠升基金管理有限责任公司,89200,957116.0,0.00354378,0.00413566,1.6,Eastmoney RPT_MAIN_ORGHOLD
2026-06-30,000582,北部湾港,008069,鹏扬富利增强A,基金,鹏扬基金管理有限公司,25800,276834.0,0.001025,0.00119619,0.21,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,78277734,锦绣中和(天津)投资管理有限公司-中和资本耕耘912号私募证券投资基金,其他,,7687987,82953379.73,0.30543222,0.35644543,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,73008468,平安基金-平安银行-中融国际信托-中融-财富1号结构化集合资金信托,信托,,22473002,242483691.58,0.89281874,1.04193711,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,71072756,安信资管双债聚利3号,券商,,2051,22130.29,8.148e-05,9.509e-05,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,71064901,安信资管双债聚利1号,券商,,12311,132835.69,0.0004891,0.00057079,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,70400249,中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪,保险,,10892334,117528283.86,0.43273613,0.50501161,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,70400207,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪,保险,,13908477,150072466.83,0.55256298,0.64485191,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,70010413,全国社保基金四一三组合,社保,,13050000,140809500.0,0.51845697,0.60504953,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,163819,中银信用增利(LOF)A,基金,中银基金管理有限公司,240000,2589600.0,0.00953484,0.01112735,0.14,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,161716,招商双债增强债券(LOF)C,基金,招商基金管理有限公司,1356867,14640594.93,0.0539063,0.06290971,0.24,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,161713,招商信用添利债券(LOF)A,基金,招商基金管理有限公司,836335,9024054.65,0.03322634,0.03877579,1.25,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,10671586,香港中央结算有限公司,其他,,21112774,227806831.46,0.83877892,0.97887157,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,10119468,广西产投资本运营集团有限公司,其他,,28506422,307584293.38,1.13251749,1.32167028,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,10102635,广西北部湾国际港务集团有限公司,其他,,1300340832,14030677577.28,37.35700174,43.59635894,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,10013673,上海中海码头发展有限公司,其他,,268145692,2893292016.68,10.65302711,12.43229306,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,10000283948,芜湖信达降杠杆投资管理合伙企业(有限合伙),其他,,19689887,212453880.73,0.78224975,0.91290091,,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,013726,惠升惠诚稳健一年持有期混合A,基金,惠升基金管理有限责任公司,89200,962468.0,0.00354378,0.00413566,1.62,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,009064,鹏扬景沃六个月混合A,基金,鹏扬基金管理有限公司,80900,872911.0,0.00321404,0.00375084,0.26,Eastmoney RPT_MAIN_ORGHOLD
2026-03-31,000582,北部湾港,008069,鹏扬富利增强A,基金,鹏扬基金管理有限公司,11800,127322.0,0.0004688,0.00054709,0.2,Eastmoney RPT_MAIN_ORGHOLD
