日期,标的代码,标的名称,收盘价,涨跌幅
2016-01-04,sh000001,上证指数,3296.26,
2016-01-05,sh000001,上证指数,3287.71,-0.2594
2016-01-06,sh000001,上证指数,3361.84,2.2548
2016-01-07,sh000001,上证指数,3125.0,-7.045
2016-01-08,sh000001,上证指数,3186.41,1.9651
2016-01-11,sh000001,上证指数,3016.7,-5.3261
2016-01-12,sh000001,上证指数,3022.86,0.2042
2016-01-13,sh000001,上证指数,2949.6,-2.4235
2016-01-14,sh000001,上证指数,3007.65,1.9681
2016-01-15,sh000001,上证指数,2900.97,-3.547
2016-01-18,sh000001,上证指数,2913.84,0.4436
2016-01-19,sh000001,上证指数,3007.74,3.2226
2016-01-20,sh000001,上证指数,2976.69,-1.0323
2016-01-21,sh000001,上证指数,2880.48,-3.2321
2016-01-22,sh000001,上证指数,2916.56,1.2526
2016-01-25,sh000001,上证指数,2938.51,0.7526
2016-01-26,sh000001,上证指数,2749.79,-6.4223
2016-01-27,sh000001,上证指数,2735.56,-0.5175
2016-01-28,sh000001,上证指数,2655.66,-2.9208
2016-01-29,sh000001,上证指数,2737.6,3.0855
2016-02-01,sh000001,上证指数,2688.85,-1.7808
2016-02-02,sh000001,上证指数,2749.57,2.2582
2016-02-03,sh000001,上证指数,2739.25,-0.3753
2016-02-04,sh000001,上证指数,2781.02,1.5249
2016-02-05,sh000001,上证指数,2763.49,-0.6303
2016-02-15,sh000001,上证指数,2746.2,-0.6257
2016-02-16,sh000001,上证指数,2836.57,3.2907
2016-02-17,sh000001,上证指数,2867.34,1.0848
2016-02-18,sh000001,上证指数,2862.89,-0.1552
2016-02-19,sh000001,上证指数,2860.02,-0.1002
2016-02-22,sh000001,上证指数,2927.18,2.3482
2016-02-23,sh000001,上证指数,2903.33,-0.8148
2016-02-24,sh000001,上证指数,2928.9,0.8807
2016-02-25,sh000001,上证指数,2741.25,-6.4068
2016-02-26,sh000001,上证指数,2767.21,0.947
2016-02-29,sh000001,上证指数,2687.98,-2.8632
2016-03-01,sh000001,上证指数,2733.17,1.6812
2016-03-02,sh000001,上证指数,2849.68,4.2628
2016-03-03,sh000001,上证指数,2859.76,0.3537
2016-03-04,sh000001,上证指数,2874.15,0.5032
2016-03-07,sh000001,上证指数,2897.34,0.8068
2016-03-08,sh000001,上证指数,2901.39,0.1398
2016-03-09,sh000001,上证指数,2862.56,-1.3383
2016-03-10,sh000001,上证指数,2804.73,-2.0202
2016-03-11,sh000001,上证指数,2810.31,0.1989
2016-03-14,sh000001,上证指数,2859.5,1.7503
2016-03-15,sh000001,上证指数,2864.37,0.1703
2016-03-16,sh000001,上证指数,2870.43,0.2116
2016-03-17,sh000001,上证指数,2904.83,1.1984
2016-03-18,sh000001,上证指数,2955.15,1.7323
2016-03-21,sh000001,上证指数,3018.8,2.1539
2016-03-22,sh000001,上证指数,2999.36,-0.644
2016-03-23,sh000001,上证指数,3009.96,0.3534
2016-03-24,sh000001,上证指数,2960.97,-1.6276
2016-03-25,sh000001,上证指数,2979.43,0.6234
2016-03-28,sh000001,上证指数,2957.82,-0.7253
2016-03-29,sh000001,上证指数,2919.83,-1.2844
2016-03-30,sh000001,上证指数,3000.65,2.768
2016-03-31,sh000001,上证指数,3003.92,0.109
2016-04-01,sh000001,上证指数,3009.53,0.1868
2016-04-05,sh000001,上证指数,3053.07,1.4467
2016-04-06,sh000001,上证指数,3050.59,-0.0812
2016-04-07,sh000001,上证指数,3008.42,-1.3824
2016-04-08,sh000001,上证指数,2984.96,-0.7798
2016-04-11,sh000001,上证指数,3033.96,1.6416
2016-04-12,sh000001,上证指数,3023.65,-0.3398
2016-04-13,sh000001,上证指数,3066.64,1.4218
2016-04-14,sh000001,上证指数,3082.36,0.5126
2016-04-15,sh000001,上证指数,3078.12,-0.1376
2016-04-18,sh000001,上证指数,3033.66,-1.4444
2016-04-19,sh000001,上证指数,3042.82,0.3019
2016-04-20,sh000001,上证指数,2972.58,-2.3084
2016-04-21,sh000001,上证指数,2952.89,-0.6624
2016-04-22,sh000001,上证指数,2959.24,0.215
2016-04-25,sh000001,上证指数,2946.67,-0.4248
2016-04-26,sh000001,上证指数,2964.7,0.6119
2016-04-27,sh000001,上证指数,2953.67,-0.372
2016-04-28,sh000001,上证指数,2945.59,-0.2736
2016-04-29,sh000001,上证指数,2938.32,-0.2468
2016-05-03,sh000001,上证指数,2992.64,1.8487
2016-05-04,sh000001,上证指数,2991.27,-0.0458
2016-05-05,sh000001,上证指数,2997.84,0.2196
2016-05-06,sh000001,上证指数,2913.25,-2.8217
2016-05-09,sh000001,上证指数,2832.11,-2.7852
2016-05-10,sh000001,上证指数,2832.59,0.0169
2016-05-11,sh000001,上证指数,2837.04,0.1571
