日期,标的代码,标的名称,收盘价,涨跌幅
2016-01-04,sh600017,日照港,5.95,
2016-01-05,sh600017,日照港,5.8,-2.521
2016-01-06,sh600017,日照港,6.03,3.9655
2016-01-07,sh600017,日照港,5.52,-8.4577
2016-01-08,sh600017,日照港,5.65,2.3551
2016-01-11,sh600017,日照港,5.17,-8.4956
2016-01-12,sh600017,日照港,5.32,2.9014
2016-01-13,sh600017,日照港,5.19,-2.4436
2016-01-14,sh600017,日照港,5.26,1.3487
2016-01-15,sh600017,日照港,5.03,-4.3726
2016-01-18,sh600017,日照港,5.04,0.1988
2016-01-19,sh600017,日照港,5.21,3.373
2016-01-20,sh600017,日照港,5.25,0.7678
2016-01-21,sh600017,日照港,5.0,-4.7619
2016-01-22,sh600017,日照港,5.06,1.2
2016-01-25,sh600017,日照港,5.09,0.5929
2016-01-26,sh600017,日照港,4.64,-8.8409
2016-01-27,sh600017,日照港,4.44,-4.3103
2016-01-28,sh600017,日照港,4.11,-7.4324
2016-01-29,sh600017,日照港,4.22,2.6764
2016-02-01,sh600017,日照港,4.08,-3.3175
2016-02-02,sh600017,日照港,4.18,2.451
2016-02-03,sh600017,日照港,4.18,0.0
2016-02-04,sh600017,日照港,4.26,1.9139
2016-02-05,sh600017,日照港,4.42,3.7559
2016-02-15,sh600017,日照港,4.44,0.4525
2016-02-16,sh600017,日照港,4.62,4.0541
2016-02-17,sh600017,日照港,4.73,2.381
2016-02-18,sh600017,日照港,4.79,1.2685
2016-02-19,sh600017,日照港,4.71,-1.6701
2016-02-22,sh600017,日照港,4.79,1.6985
2016-02-23,sh600017,日照港,4.68,-2.2965
2016-02-24,sh600017,日照港,4.77,1.9231
2016-02-25,sh600017,日照港,4.29,-10.0629
2016-02-26,sh600017,日照港,4.3,0.2331
2016-02-29,sh600017,日照港,4.08,-5.1163
2016-03-01,sh600017,日照港,4.16,1.9608
2016-03-02,sh600017,日照港,4.45,6.9712
2016-03-03,sh600017,日照港,4.46,0.2247
2016-03-04,sh600017,日照港,4.46,0.0
2016-03-07,sh600017,日照港,4.53,1.5695
2016-03-08,sh600017,日照港,4.6,1.5453
2016-03-09,sh600017,日照港,4.43,-3.6957
2016-03-10,sh600017,日照港,4.3,-2.9345
2016-03-11,sh600017,日照港,4.25,-1.1628
2016-03-14,sh600017,日照港,4.4,3.5294
2016-03-15,sh600017,日照港,4.35,-1.1364
2016-03-16,sh600017,日照港,4.31,-0.9195
2016-03-17,sh600017,日照港,4.41,2.3202
2016-03-18,sh600017,日照港,4.58,3.8549
2016-03-21,sh600017,日照港,4.65,1.5284
2016-03-22,sh600017,日照港,4.58,-1.5054
2016-03-23,sh600017,日照港,4.57,-0.2183
2016-03-24,sh600017,日照港,4.56,-0.2188
2016-03-25,sh600017,日照港,4.64,1.7544
2016-03-28,sh600017,日照港,4.64,0.0
2016-03-29,sh600017,日照港,4.72,1.7241
2016-03-30,sh600017,日照港,5.02,6.3559
2016-03-31,sh600017,日照港,5.22,3.9841
2016-04-01,sh600017,日照港,5.1,-2.2989
2016-04-05,sh600017,日照港,5.15,0.9804
2016-04-06,sh600017,日照港,5.01,-2.7184
2016-04-07,sh600017,日照港,5.0,-0.1996
2016-04-08,sh600017,日照港,4.85,-3.0
2016-04-11,sh600017,日照港,4.94,1.8557
2016-04-12,sh600017,日照港,4.92,-0.4049
2016-04-13,sh600017,日照港,5.04,2.439
2016-04-14,sh600017,日照港,5.03,-0.1984
2016-04-15,sh600017,日照港,4.99,-0.7952
2016-04-18,sh600017,日照港,4.85,-2.8056
2016-04-19,sh600017,日照港,4.86,0.2062
2016-04-20,sh600017,日照港,4.57,-5.9671
2016-04-21,sh600017,日照港,4.47,-2.1882
2016-04-22,sh600017,日照港,4.5,0.6711
2016-04-25,sh600017,日照港,4.46,-0.8889
2016-04-26,sh600017,日照港,4.48,0.4484
2016-04-27,sh600017,日照港,4.45,-0.6696
2016-04-28,sh600017,日照港,4.4,-1.1236
2016-04-29,sh600017,日照港,4.38,-0.4545
2016-05-03,sh600017,日照港,4.48,2.2831
2016-05-04,sh600017,日照港,4.52,0.8929
2016-05-05,sh600017,日照港,4.51,-0.2212
2016-05-06,sh600017,日照港,4.33,-3.9911
2016-05-09,sh600017,日照港,4.17,-3.6952
2016-05-10,sh600017,日照港,4.22,1.199
2016-05-11,sh600017,日照港,4.21,-0.237
2016-05-12,sh600017,日照港,4.17,-0.9501
2016-05-13,sh600017,日照港,4.18,0.2398
2016-05-16,sh600017,日照港,4.23,1.1962
2016-05-17,sh600017,日照港,4.19,-0.9456
2016-05-18,sh600017,日照港,4.15,-0.9547
2016-05-19,sh600017,日照港,4.14,-0.241
2016-05-20,sh600017,日照港,4.15,0.2415
2016-05-23,sh600017,日照港,4.18,0.7229
2016-05-24,sh600017,日照港,4.14,-0.9569
2016-05-25,sh600017,日照港,4.17,0.7246
2016-05-26,sh600017,日照港,4.15,-0.4796
2016-05-27,sh600017,日照港,4.13,-0.4819
2016-05-30,sh600017,日照港,4.1,-0.7264
2016-05-31,sh600017,日照港,4.22,2.9268
2016-06-01,sh600017,日照港,4.25,0.7109
2016-06-02,sh600017,日照港,4.23,-0.4706
2016-06-03,sh600017,日照港,4.23,0.0
2016-06-06,sh600017,日照港,4.22,-0.2364
2016-06-07,sh600017,日照港,4.19,-0.7109
2016-06-08,sh600017,日照港,4.19,0.0
2016-06-13,sh600017,日照港,4.01,-4.2959
2016-06-14,sh600017,日照港,4.04,0.7481
2016-06-15,sh600017,日照港,4.11,1.7327
2016-06-16,sh600017,日照港,4.05,-1.4599
2016-06-17,sh600017,日照港,4.07,0.4938
2016-06-20,sh600017,日照港,4.05,-0.4914
2016-06-21,sh600017,日照港,4.05,0.0
2016-06-22,sh600017,日照港,4.07,0.4938
2016-06-23,sh600017,日照港,4.04,-0.7371
2016-06-24,sh600017,日照港,3.99,-1.2376
2016-06-27,sh600017,日照港,4.02,0.7519
2016-06-28,sh600017,日照港,4.06,0.995
2016-06-29,sh600017,日照港,4.07,0.2463
2016-06-30,sh600017,日照港,4.05,-0.4914
2016-07-01,sh600017,日照港,4.02,-0.7407
2016-07-04,sh600017,日照港,4.08,1.4925
2016-07-05,sh600017,日照港,4.15,1.7157
2016-07-06,sh600017,日照港,4.13,-0.4819
2016-07-07,sh600017,日照港,4.15,0.4843
2016-07-08,sh600017,日照港,4.2,1.2048
2016-07-11,sh600017,日照港,4.27,1.6667
2016-07-12,sh600017,日照港,4.28,0.2342
2016-07-13,sh600017,日照港,4.26,-0.4673
2016-07-14,sh600017,日照港,4.26,0.0
2016-07-15,sh600017,日照港,4.25,-0.2347
2016-07-18,sh600017,日照港,4.19,-1.4118
2016-07-19,sh600017,日照港,4.24,1.1933
2016-07-20,sh600017,日照港,4.19,-1.1792
2016-07-21,sh600017,日照港,4.19,0.0
2016-07-22,sh600017,日照港,4.13,-1.432
2016-07-25,sh600017,日照港,4.14,0.2421
2016-07-26,sh600017,日照港,4.17,0.7246
2016-07-27,sh600017,日照港,4.13,-0.9592
2016-07-28,sh600017,日照港,4.11,-0.4843
2016-07-29,sh600017,日照港,4.12,0.2433
2016-08-01,sh600017,日照港,4.06,-1.4563
2016-08-02,sh600017,日照港,4.06,0.0
2016-08-03,sh600017,日照港,4.07,0.2463
2016-08-04,sh600017,日照港,4.07,0.0
2016-08-05,sh600017,日照港,4.07,0.0
2016-08-08,sh600017,日照港,4.1,0.7371
2016-08-09,sh600017,日照港,4.1,0.0
2016-08-10,sh600017,日照港,4.1,0.0
2016-08-11,sh600017,日照港,4.07,-0.7317
2016-08-12,sh600017,日照港,4.1,0.7371
2016-08-15,sh600017,日照港,4.17,1.7073
2016-08-16,sh600017,日照港,4.17,0.0
2016-08-17,sh600017,日照港,4.17,0.0
2016-08-18,sh600017,日照港,4.21,0.9592
2016-08-19,sh600017,日照港,4.18,-0.7126
2016-08-22,sh600017,日照港,4.16,-0.4785
2016-08-23,sh600017,日照港,4.17,0.2404
2016-08-24,sh600017,日照港,4.16,-0.2398
2016-08-25,sh600017,日照港,4.11,-1.2019
2016-08-26,sh600017,日照港,4.1,-0.2433
2016-08-29,sh600017,日照港,4.1,0.0
2016-08-30,sh600017,日照港,4.1,0.0
2016-08-31,sh600017,日照港,4.09,-0.2439
2016-09-01,sh600017,日照港,4.09,0.0
2016-09-02,sh600017,日照港,4.07,-0.489
2016-09-05,sh600017,日照港,4.08,0.2457
2016-09-06,sh600017,日照港,4.1,0.4902
2016-09-07,sh600017,日照港,4.1,0.0
2016-09-08,sh600017,日照港,4.1,0.0
2016-09-09,sh600017,日照港,4.1,0.0
2016-09-12,sh600017,日照港,4.04,-1.4634
2016-09-13,sh600017,日照港,4.04,0.0
2016-09-14,sh600017,日照港,4.02,-0.495
2016-09-19,sh600017,日照港,4.03,0.2488
2016-09-20,sh600017,日照港,4.01,-0.4963
2016-09-21,sh600017,日照港,4.02,0.2494
2016-09-22,sh600017,日照港,4.03,0.2488
2016-09-23,sh600017,日照港,4.02,-0.2481
2016-09-26,sh600017,日照港,3.95,-1.7413
2016-09-27,sh600017,日照港,3.96,0.2532
2016-09-28,sh600017,日照港,3.94,-0.5051
2016-09-29,sh600017,日照港,3.94,0.0
2016-09-30,sh600017,日照港,3.94,0.0
2016-10-10,sh600017,日照港,3.97,0.7614
2016-10-11,sh600017,日照港,4.03,1.5113
2016-10-12,sh600017,日照港,4.04,0.2481
2016-10-13,sh600017,日照港,4.02,-0.495
2016-10-14,sh600017,日照港,4.01,-0.2488
2016-10-17,sh600017,日照港,3.99,-0.4988
2016-10-18,sh600017,日照港,4.05,1.5038
2016-10-19,sh600017,日照港,4.03,-0.4938
2016-10-20,sh600017,日照港,4.07,0.9926
2016-10-21,sh600017,日照港,4.12,1.2285
2016-10-24,sh600017,日照港,4.16,0.9709
2016-10-25,sh600017,日照港,4.16,0.0
2016-10-26,sh600017,日照港,4.11,-1.2019
2016-10-27,sh600017,日照港,4.09,-0.4866
2016-10-28,sh600017,日照港,4.05,-0.978
2016-10-31,sh600017,日照港,4.03,-0.4938
2016-11-01,sh600017,日照港,4.05,0.4963
2016-11-02,sh600017,日照港,3.99,-1.4815
2016-11-03,sh600017,日照港,4.02,0.7519
2016-11-04,sh600017,日照港,4.01,-0.2488
2016-11-07,sh600017,日照港,4.02,0.2494
2016-11-08,sh600017,日照港,4.06,0.995
2016-11-09,sh600017,日照港,4.04,-0.4926
2016-11-10,sh600017,日照港,4.08,0.9901
2016-11-11,sh600017,日照港,4.13,1.2255
2016-11-14,sh600017,日照港,4.22,2.1792
2016-11-15,sh600017,日照港,4.27,1.1848
2016-11-16,sh600017,日照港,4.35,1.8735
2016-11-17,sh600017,日照港,4.29,-1.3793
2016-11-18,sh600017,日照港,4.25,-0.9324
2016-11-21,sh600017,日照港,4.23,-0.4706
2016-11-22,sh600017,日照港,4.26,0.7092
2016-11-23,sh600017,日照港,4.18,-1.8779
2016-11-24,sh600017,日照港,4.16,-0.4785
2016-11-25,sh600017,日照港,4.19,0.7212
2016-11-28,sh600017,日照港,4.26,1.6706
2016-11-29,sh600017,日照港,4.25,-0.2347
2016-11-30,sh600017,日照港,4.23,-0.4706
2016-12-01,sh600017,日照港,4.26,0.7092
2016-12-02,sh600017,日照港,4.16,-2.3474
2016-12-05,sh600017,日照港,4.14,-0.4808
2016-12-06,sh600017,日照港,4.14,0.0
2016-12-07,sh600017,日照港,4.18,0.9662
2016-12-08,sh600017,日照港,4.22,0.9569
2016-12-09,sh600017,日照港,4.18,-0.9479
2016-12-12,sh600017,日照港,4.02,-3.8278
2016-12-13,sh600017,日照港,4.04,0.4975
2016-12-14,sh600017,日照港,4.01,-0.7426
2016-12-15,sh600017,日照港,4.03,0.4988
