日期,标的代码,标的名称,收盘价,涨跌幅
2022-12-01,sz159662,交运ETF南方,1.013,
2022-12-02,sz159662,交运ETF南方,1.007,-0.5923
2022-12-05,sz159662,交运ETF南方,1.038,3.0785
2022-12-06,sz159662,交运ETF南方,1.048,0.9634
2022-12-07,sz159662,交运ETF南方,1.06,1.145
2022-12-08,sz159662,交运ETF南方,1.057,-0.283
2022-12-09,sz159662,交运ETF南方,1.046,-1.0407
2022-12-12,sz159662,交运ETF南方,1.045,-0.0956
2022-12-13,sz159662,交运ETF南方,1.055,0.9569
2022-12-14,sz159662,交运ETF南方,1.064,0.8531
2022-12-15,sz159662,交运ETF南方,1.05,-1.3158
2022-12-16,sz159662,交运ETF南方,1.054,0.381
2022-12-19,sz159662,交运ETF南方,1.035,-1.8027
2022-12-20,sz159662,交运ETF南方,1.019,-1.5459
2022-12-21,sz159662,交运ETF南方,1.025,0.5888
2022-12-22,sz159662,交运ETF南方,1.023,-0.1951
2022-12-23,sz159662,交运ETF南方,1.019,-0.391
2022-12-26,sz159662,交运ETF南方,1.021,0.1963
2022-12-27,sz159662,交运ETF南方,1.035,1.3712
2022-12-28,sz159662,交运ETF南方,1.019,-1.5459
2022-12-29,sz159662,交运ETF南方,1.007,-1.1776
2022-12-30,sz159662,交运ETF南方,1.02,1.291
2023-01-03,sz159662,交运ETF南方,1.016,-0.3922
2023-01-04,sz159662,交运ETF南方,1.017,0.0984
2023-01-05,sz159662,交运ETF南方,1.028,1.0816
2023-01-06,sz159662,交运ETF南方,1.018,-0.9728
2023-01-09,sz159662,交运ETF南方,1.029,1.0806
2023-01-10,sz159662,交运ETF南方,1.02,-0.8746
2023-01-11,sz159662,交运ETF南方,1.014,-0.5882
2023-01-12,sz159662,交运ETF南方,1.014,0.0
2023-01-13,sz159662,交运ETF南方,1.032,1.7751
2023-01-16,sz159662,交运ETF南方,1.037,0.4845
2023-01-17,sz159662,交运ETF南方,1.038,0.0964
2023-01-18,sz159662,交运ETF南方,1.039,0.0963
2023-01-19,sz159662,交运ETF南方,1.041,0.1925
2023-01-20,sz159662,交运ETF南方,1.045,0.3842
2023-01-30,sz159662,交运ETF南方,1.031,-1.3397
2023-01-31,sz159662,交运ETF南方,1.038,0.679
2023-02-01,sz159662,交运ETF南方,1.039,0.0963
2023-02-02,sz159662,交运ETF南方,1.043,0.385
2023-02-03,sz159662,交运ETF南方,1.035,-0.767
2023-02-06,sz159662,交运ETF南方,1.03,-0.4831
2023-02-07,sz159662,交运ETF南方,1.033,0.2913
2023-02-08,sz159662,交运ETF南方,1.034,0.0968
2023-02-09,sz159662,交运ETF南方,1.041,0.677
2023-02-10,sz159662,交运ETF南方,1.041,0.0
2023-02-13,sz159662,交运ETF南方,1.05,0.8646
2023-02-14,sz159662,交运ETF南方,1.054,0.381
2023-02-15,sz159662,交运ETF南方,1.039,-1.4231
2023-02-16,sz159662,交运ETF南方,1.03,-0.8662
2023-02-17,sz159662,交运ETF南方,1.022,-0.7767
2023-02-20,sz159662,交运ETF南方,1.034,1.1742
2023-02-21,sz159662,交运ETF南方,1.034,0.0
2023-02-22,sz159662,交运ETF南方,1.034,0.0
2023-02-23,sz159662,交运ETF南方,1.029,-0.4836
2023-02-24,sz159662,交运ETF南方,1.026,-0.2915
2023-02-27,sz159662,交运ETF南方,1.024,-0.1949
2023-02-28,sz159662,交运ETF南方,1.031,0.6836
2023-03-01,sz159662,交运ETF南方,1.044,1.2609
2023-03-02,sz159662,交运ETF南方,1.049,0.4789
2023-03-03,sz159662,交运ETF南方,1.057,0.7626
2023-03-06,sz159662,交运ETF南方,1.053,-0.3784
2023-03-07,sz159662,交运ETF南方,1.041,-1.1396
2023-03-08,sz159662,交运ETF南方,1.044,0.2882
2023-03-09,sz159662,交运ETF南方,1.046,0.1916
2023-03-10,sz159662,交运ETF南方,1.032,-1.3384
2023-03-13,sz159662,交运ETF南方,1.054,2.1318
2023-03-14,sz159662,交运ETF南方,1.043,-1.0436
2023-03-15,sz159662,交运ETF南方,1.051,0.767
2023-03-16,sz159662,交运ETF南方,1.034,-1.6175
2023-03-17,sz159662,交运ETF南方,1.04,0.5803
2023-03-20,sz159662,交运ETF南方,1.03,-0.9615
2023-03-21,sz159662,交运ETF南方,1.038,0.7767
2023-03-22,sz159662,交运ETF南方,1.033,-0.4817
2023-03-23,sz159662,交运ETF南方,1.035,0.1936
2023-03-24,sz159662,交运ETF南方,1.027,-0.7729
2023-03-27,sz159662,交运ETF南方,1.023,-0.3895
2023-03-28,sz159662,交运ETF南方,1.019,-0.391
2023-03-29,sz159662,交运ETF南方,1.022,0.2944
2023-03-30,sz159662,交运ETF南方,1.033,1.0763
2023-03-31,sz159662,交运ETF南方,1.034,0.0968
2023-04-03,sz159662,交运ETF南方,1.035,0.0967
2023-04-04,sz159662,交运ETF南方,1.041,0.5797
2023-04-06,sz159662,交运ETF南方,1.04,-0.0961
2023-04-07,sz159662,交运ETF南方,1.049,0.8654
2023-04-10,sz159662,交运ETF南方,1.047,-0.1907
2023-04-11,sz159662,交运ETF南方,1.037,-0.9551
2023-04-12,sz159662,交运ETF南方,1.041,0.3857
2023-04-13,sz159662,交运ETF南方,1.044,0.2882
2023-04-14,sz159662,交运ETF南方,1.046,0.1916
2023-04-17,sz159662,交运ETF南方,1.066,1.912
2023-04-18,sz159662,交运ETF南方,1.066,0.0
2023-04-19,sz159662,交运ETF南方,1.056,-0.9381
2023-04-20,sz159662,交运ETF南方,1.051,-0.4735
2023-04-21,sz159662,交运ETF南方,1.037,-1.3321
2023-04-24,sz159662,交运ETF南方,1.025,-1.1572
2023-04-25,sz159662,交运ETF南方,1.024,-0.0976
2023-04-26,sz159662,交运ETF南方,1.026,0.1953
2023-04-27,sz159662,交运ETF南方,1.038,1.1696
2023-04-28,sz159662,交运ETF南方,1.051,1.2524
2023-05-04,sz159662,交运ETF南方,1.052,0.0951
2023-05-05,sz159662,交运ETF南方,1.048,-0.3802
2023-05-08,sz159662,交运ETF南方,1.044,-0.3817
2023-05-09,sz159662,交运ETF南方,1.037,-0.6705
2023-05-10,sz159662,交运ETF南方,1.022,-1.4465
2023-05-11,sz159662,交运ETF南方,1.022,0.0
2023-05-12,sz159662,交运ETF南方,1.02,-0.1957
2023-05-15,sz159662,交运ETF南方,1.019,-0.098
2023-05-16,sz159662,交运ETF南方,1.008,-1.0795
2023-05-17,sz159662,交运ETF南方,1.003,-0.496
2023-05-18,sz159662,交运ETF南方,1.004,0.0997
2023-05-19,sz159662,交运ETF南方,1.005,0.0996
2023-05-22,sz159662,交运ETF南方,1.012,0.6965
2023-05-23,sz159662,交运ETF南方,0.999,-1.2846
2023-05-24,sz159662,交运ETF南方,0.977,-2.2022
2023-05-25,sz159662,交运ETF南方,0.978,0.1024
2023-05-26,sz159662,交运ETF南方,0.98,0.2045
2023-05-29,sz159662,交运ETF南方,0.98,0.0
2023-05-30,sz159662,交运ETF南方,0.976,-0.4082
2023-05-31,sz159662,交运ETF南方,0.975,-0.1025
2023-06-01,sz159662,交运ETF南方,0.964,-1.1282
2023-06-02,sz159662,交运ETF南方,0.97,0.6224
2023-06-05,sz159662,交运ETF南方,0.972,0.2062
2023-06-06,sz159662,交运ETF南方,0.959,-1.3374
2023-06-07,sz159662,交运ETF南方,0.967,0.8342
2023-06-08,sz159662,交运ETF南方,0.975,0.8273
2023-06-09,sz159662,交运ETF南方,0.981,0.6154
2023-06-12,sz159662,交运ETF南方,0.981,0.0
2023-06-13,sz159662,交运ETF南方,0.979,-0.2039
2023-06-14,sz159662,交运ETF南方,0.979,0.0
2023-06-15,sz159662,交运ETF南方,0.979,0.0
2023-06-16,sz159662,交运ETF南方,0.987,0.8172
2023-06-19,sz159662,交运ETF南方,0.979,-0.8105
2023-06-20,sz159662,交运ETF南方,0.965,-1.43
2023-06-21,sz159662,交运ETF南方,0.962,-0.3109
2023-06-26,sz159662,交运ETF南方,0.943,-1.9751
2023-06-27,sz159662,交运ETF南方,0.957,1.4846
2023-06-28,sz159662,交运ETF南方,0.969,1.2539
2023-06-29,sz159662,交运ETF南方,0.952,-1.7544
2023-06-30,sz159662,交运ETF南方,0.954,0.2101
2023-07-03,sz159662,交运ETF南方,0.979,2.6205
2023-07-04,sz159662,交运ETF南方,0.979,0.0
2023-07-05,sz159662,交运ETF南方,0.975,-0.4086
2023-07-06,sz159662,交运ETF南方,0.969,-0.6154
2023-07-07,sz159662,交运ETF南方,0.978,0.9288
2023-07-10,sz159662,交运ETF南方,0.984,0.6135
2023-07-11,sz159662,交运ETF南方,0.985,0.1016
2023-07-12,sz159662,交运ETF南方,0.97,-1.5228
2023-07-13,sz159662,交运ETF南方,0.979,0.9278
2023-07-14,sz159662,交运ETF南方,0.979,0.0
2023-07-17,sz159662,交运ETF南方,0.976,-0.3064
2023-07-18,sz159662,交运ETF南方,0.984,0.8197
2023-07-19,sz159662,交运ETF南方,0.985,0.1016
2023-07-20,sz159662,交运ETF南方,0.977,-0.8122
2023-07-21,sz159662,交运ETF南方,0.979,0.2047
2023-07-24,sz159662,交运ETF南方,0.978,-0.1021
2023-07-25,sz159662,交运ETF南方,0.993,1.5337
2023-07-26,sz159662,交运ETF南方,0.99,-0.3021
2023-07-27,sz159662,交运ETF南方,0.993,0.303
2023-07-28,sz159662,交运ETF南方,1.008,1.5106
2023-07-31,sz159662,交运ETF南方,1.015,0.6944
2023-08-01,sz159662,交运ETF南方,1.017,0.197
2023-08-02,sz159662,交运ETF南方,1.005,-1.1799
2023-08-03,sz159662,交运ETF南方,1.006,0.0995
2023-08-04,sz159662,交运ETF南方,1.002,-0.3976
2023-08-07,sz159662,交运ETF南方,0.994,-0.7984
2023-08-08,sz159662,交运ETF南方,0.992,-0.2012
2023-08-09,sz159662,交运ETF南方,0.988,-0.4032
2023-08-10,sz159662,交运ETF南方,1.007,1.9231
2023-08-11,sz159662,交运ETF南方,0.991,-1.5889
2023-08-14,sz159662,交运ETF南方,0.985,-0.6054
2023-08-15,sz159662,交运ETF南方,0.984,-0.1015
2023-08-16,sz159662,交运ETF南方,0.979,-0.5081
2023-08-17,sz159662,交运ETF南方,0.985,0.6129
2023-08-18,sz159662,交运ETF南方,0.98,-0.5076
2023-08-21,sz159662,交运ETF南方,0.957,-2.3469
2023-08-22,sz159662,交运ETF南方,0.953,-0.418
2023-08-23,sz159662,交运ETF南方,0.943,-1.0493
2023-08-24,sz159662,交运ETF南方,0.94,-0.3181
2023-08-25,sz159662,交运ETF南方,0.936,-0.4255
2023-08-28,sz159662,交运ETF南方,0.947,1.1752
2023-08-29,sz159662,交运ETF南方,0.953,0.6336
2023-08-30,sz159662,交运ETF南方,0.946,-0.7345
2023-08-31,sz159662,交运ETF南方,0.935,-1.1628
2023-09-01,sz159662,交运ETF南方,0.941,0.6417
2023-09-04,sz159662,交运ETF南方,0.954,1.3815
2023-09-05,sz159662,交运ETF南方,0.949,-0.5241
2023-09-06,sz159662,交运ETF南方,0.938,-1.1591
2023-09-07,sz159662,交运ETF南方,0.929,-0.9595
2023-09-08,sz159662,交运ETF南方,0.925,-0.4306
2023-09-11,sz159662,交运ETF南方,0.936,1.1892
2023-09-12,sz159662,交运ETF南方,0.934,-0.2137
2023-09-13,sz159662,交运ETF南方,0.932,-0.2141
2023-09-14,sz159662,交运ETF南方,0.934,0.2146
2023-09-15,sz159662,交运ETF南方,0.932,-0.2141
2023-09-18,sz159662,交运ETF南方,0.93,-0.2146
2023-09-19,sz159662,交运ETF南方,0.934,0.4301
2023-09-20,sz159662,交运ETF南方,0.93,-0.4283
2023-09-21,sz159662,交运ETF南方,0.93,0.0
2023-09-22,sz159662,交运ETF南方,0.935,0.5376
2023-09-25,sz159662,交运ETF南方,0.93,-0.5348
2023-09-26,sz159662,交运ETF南方,0.925,-0.5376
2023-09-27,sz159662,交运ETF南方,0.924,-0.1081
2023-09-28,sz159662,交运ETF南方,0.924,0.0
2023-10-09,sz159662,交运ETF南方,0.915,-0.974
2023-10-10,sz159662,交运ETF南方,0.904,-1.2022
2023-10-11,sz159662,交运ETF南方,0.9,-0.4425
2023-10-12,sz159662,交运ETF南方,0.91,1.1111
2023-10-13,sz159662,交运ETF南方,0.899,-1.2088
2023-10-16,sz159662,交运ETF南方,0.902,0.3337
2023-10-17,sz159662,交运ETF南方,0.899,-0.3326
2023-10-18,sz159662,交运ETF南方,0.888,-1.2236
2023-10-19,sz159662,交运ETF南方,0.876,-1.3514
2023-10-20,sz159662,交运ETF南方,0.87,-0.6849
2023-10-23,sz159662,交运ETF南方,0.859,-1.2644
2023-10-24,sz159662,交运ETF南方,0.869,1.1641
2023-10-25,sz159662,交运ETF南方,0.88,1.2658
2023-10-26,sz159662,交运ETF南方,0.885,0.5682
2023-10-27,sz159662,交运ETF南方,0.896,1.2429
2023-10-30,sz159662,交运ETF南方,0.901,0.558
2023-10-31,sz159662,交运ETF南方,0.899,-0.222
2023-11-01,sz159662,交运ETF南方,0.895,-0.4449
2023-11-02,sz159662,交运ETF南方,0.893,-0.2235
2023-11-03,sz159662,交运ETF南方,0.895,0.224
2023-11-06,sz159662,交运ETF南方,0.898,0.3352
2023-11-07,sz159662,交运ETF南方,0.894,-0.4454
2023-11-08,sz159662,交运ETF南方,0.891,-0.3356
2023-11-09,sz159662,交运ETF南方,0.892,0.1122
2023-11-10,sz159662,交运ETF南方,0.89,-0.2242
2023-11-13,sz159662,交运ETF南方,0.89,0.0
2023-11-14,sz159662,交运ETF南方,0.892,0.2247
2023-11-15,sz159662,交运ETF南方,0.896,0.4484
2023-11-16,sz159662,交运ETF南方,0.894,-0.2232
2023-11-17,sz159662,交运ETF南方,0.892,-0.2237
2023-11-20,sz159662,交运ETF南方,0.9,0.8969
2023-11-21,sz159662,交运ETF南方,0.902,0.2222
2023-11-22,sz159662,交运ETF南方,0.897,-0.5543
2023-11-23,sz159662,交运ETF南方,0.903,0.6689
2023-11-24,sz159662,交运ETF南方,0.901,-0.2215
2023-11-27,sz159662,交运ETF南方,0.902,0.111
2023-11-28,sz159662,交运ETF南方,0.904,0.2217
2023-11-29,sz159662,交运ETF南方,0.901,-0.3319
2023-11-30,sz159662,交运ETF南方,0.907,0.6659
2023-12-01,sz159662,交运ETF南方,0.902,-0.5513
2023-12-04,sz159662,交运ETF南方,0.907,0.5543
2023-12-05,sz159662,交运ETF南方,0.889,-1.9846
2023-12-06,sz159662,交运ETF南方,0.893,0.4499
2023-12-07,sz159662,交运ETF南方,0.889,-0.4479
2023-12-08,sz159662,交运ETF南方,0.889,0.0
2023-12-11,sz159662,交运ETF南方,0.897,0.8999
2023-12-12,sz159662,交运ETF南方,0.898,0.1115
2023-12-13,sz159662,交运ETF南方,0.89,-0.8909
2023-12-14,sz159662,交运ETF南方,0.884,-0.6742
2023-12-15,sz159662,交运ETF南方,0.879,-0.5656
2023-12-18,sz159662,交运ETF南方,0.884,0.5688
2023-12-19,sz159662,交运ETF南方,0.876,-0.905
2023-12-20,sz159662,交运ETF南方,0.871,-0.5708
2023-12-21,sz159662,交运ETF南方,0.873,0.2296
2023-12-22,sz159662,交运ETF南方,0.874,0.1145
2023-12-25,sz159662,交运ETF南方,0.87,-0.4577
2023-12-26,sz159662,交运ETF南方,0.866,-0.4598
2023-12-27,sz159662,交运ETF南方,0.865,-0.1155
