日期,股票收盘价,股票涨跌幅,大盘涨跌幅,行业涨跌幅,相对大盘强弱,相对行业强弱,5日波动率,20日波动率
2016-01-04,20.26,,,,,,,
2016-01-05,19.4,-4.2448,-0.2594,,-3.9854,,,
2016-01-06,19.7,1.5464,2.2548,,-0.7083999999999999,,,
2016-01-07,17.73,-10.0,-7.045,,-2.955,,,
2016-01-08,18.5,4.3429,1.9651,,2.3778,,,
2016-01-11,16.76,-9.4054,-5.3261,,-4.0793,,6.4156,
2016-01-12,16.39,-2.2076,0.2042,,-2.4118,,6.4253,
2016-01-13,15.82,-3.4777,-2.4235,,-1.0541999999999998,,5.8778,
2016-01-14,16.3,3.0341,1.9681,,1.066,,5.5135,
2016-01-15,15.98,-1.9632,-3.547,,1.5838,,4.4491,
2016-01-18,16.45,2.9412,0.4436,,2.4976,,3.087,
2016-01-19,16.96,3.1003,3.2226,,-0.12230000000000008,,3.1928,
2016-01-20,16.62,-2.0047,-1.0323,,-0.9724000000000002,,2.7442,
2016-01-21,16.35,-1.6245,-3.2321,,1.6076,,2.6802,
2016-01-22,16.37,0.1223,1.2526,,-1.1302999999999999,,2.4316,
2016-01-25,16.63,1.5883,0.7526,,0.8357,,2.1522,
2016-01-26,15.5,-6.7949,-6.4223,,-0.37260000000000026,,3.1694,
2016-01-27,15.45,-0.3226,-0.5175,,0.19489999999999996,,3.2235,
2016-01-28,15.55,0.6472,-2.9208,,3.5679999999999996,,3.3429,
2016-01-29,15.82,1.7363,3.0855,,-1.3492000000000002,,3.5444,
2016-02-01,15.59,-1.4539,-1.7808,,0.32689999999999997,,3.3228,4.0208
2016-02-02,16.1,3.2713,2.2582,,1.0131000000000001,,1.8265,4.0743
2016-02-03,16.03,-0.4348,-0.3753,,-0.0595,,1.844,4.037
2016-02-04,17.5,9.1703,1.5249,,7.6453999999999995,,4.1806,4.0498
2016-02-05,17.02,-2.7429,-0.6303,,-2.1126,,4.8068,3.96
2016-02-15,17.02,0.0,-0.6257,,0.6257,,4.6191,3.3363
2016-02-16,17.43,2.4089,3.2907,,-0.8818000000000001,,4.5687,3.3258
2016-02-17,17.29,-0.8032,1.0848,,-1.888,,4.6141,3.2153
2016-02-18,17.18,-0.6362,-0.1552,,-0.481,,1.8539,3.167
2016-02-19,17.28,0.5821,-0.1002,,0.6822999999999999,,1.2952,3.1217
2016-02-22,17.74,2.662,2.3482,,0.3138000000000001,,1.6376,3.1105
