日期,指数代码,指数简称,成交额_元,成交额_亿元,成交额_万亿元,上涨家数,下跌家数,上涨占比,涨跌家数差,涨停家数,跌停家数,涨停跌停差,年份,月份,上涨占比_pct_calc
2016-01-04,883957.TI,同花顺全A(沪深京),,,,40.0,2476.0,0.0158982511923688,-2436.0,,,,2016,2016-01,1.5898251192368835
2016-01-05,883957.TI,同花顺全A(沪深京),,,,753.0,1749.0,0.3009592326139089,-996.0,,,,2016,2016-01,30.09592326139089
2016-01-06,883957.TI,同花顺全A(沪深京),,,,2431.0,80.0,0.9681401831939468,2351.0,,,,2016,2016-01,96.81401831939466
2016-01-07,883957.TI,同花顺全A(沪深京),,,,35.0,2487.0,0.0138778747026169,-2452.0,,,,2016,2016-01,1.387787470261697
2016-01-08,883957.TI,同花顺全A(沪深京),,,,1557.0,936.0,0.6245487364620939,621.0,,,,2016,2016-01,62.454873646209386
2016-01-11,883957.TI,同花顺全A(沪深京),,,,93.0,2417.0,0.0370517928286852,-2324.0,,,,2016,2016-01,3.705179282868526
2016-01-12,883957.TI,同花顺全A(沪深京),,,,1492.0,997.0,0.5994375251104861,495.0,,,,2016,2016-01,59.94375251104861
2016-01-13,883957.TI,同花顺全A(沪深京),,,,179.0,2325.0,0.0714856230031948,-2146.0,,,,2016,2016-01,7.1485623003194885
2016-01-14,883957.TI,同花顺全A(沪深京),,,,2423.0,94.0,0.9626539531187922,2329.0,,,,2016,2016-01,96.26539531187922
2016-01-15,883957.TI,同花顺全A(沪深京),,,,243.0,2280.0,0.0963139120095124,-2037.0,,,,2016,2016-01,9.63139120095125
2016-01-18,883957.TI,同花顺全A(沪深京),,,,2131.0,350.0,0.8589278516727126,1781.0,,,,2016,2016-01,85.89278516727126
2016-01-19,883957.TI,同花顺全A(沪深京),,,,2502.0,21.0,0.9916765755053508,2481.0,,,,2016,2016-01,99.16765755053508
2016-01-20,883957.TI,同花顺全A(沪深京),,,,790.0,1702.0,0.3170144462279293,-912.0,,,,2016,2016-01,31.70144462279293
2016-01-21,883957.TI,同花顺全A(沪深京),,,,122.0,2399.0,0.0483934946449821,-2277.0,,,,2016,2016-01,4.839349464498215
2016-01-22,883957.TI,同花顺全A(沪深京),,,,2196.0,301.0,0.8794553464156989,1895.0,,,,2016,2016-01,87.94553464156989
2016-01-25,883957.TI,同花顺全A(沪深京),,,,2070.0,413.0,0.8336689488521949,1657.0,,,,2016,2016-01,83.3668948852195
2016-01-26,883957.TI,同花顺全A(沪深京),,,,52.0,2477.0,0.0205614867536575,-2425.0,,,,2016,2016-01,2.056148675365757
2016-01-27,883957.TI,同花顺全A(沪深京),,,,782.0,1717.0,0.3129251700680272,-935.0,,,,2016,2016-01,31.29251700680272
2016-01-28,883957.TI,同花顺全A(沪深京),,,,158.0,2362.0,0.0626984126984127,-2204.0,,,,2016,2016-01,6.26984126984127
2016-01-29,883957.TI,同花顺全A(沪深京),,,,2435.0,82.0,0.9674215335717125,2353.0,,,,2016,2016-01,96.74215335717123
2016-02-01,883957.TI,同花顺全A(沪深京),,,,721.0,1769.0,0.2895582329317269,-1048.0,,,,2016,2016-02,28.95582329317269
2016-02-02,883957.TI,同花顺全A(沪深京),,,,2496.0,23.0,0.9908693926161176,2473.0,,,,2016,2016-02,99.08693926161176
2016-02-03,883957.TI,同花顺全A(沪深京),,,,1374.0,1073.0,0.5615038823048631,301.0,,,,2016,2016-02,56.15038823048632
2016-02-04,883957.TI,同花顺全A(沪深京),,,,2421.0,91.0,0.9637738853503184,2330.0,,,,2016,2016-02,96.37738853503186
2016-02-05,883957.TI,同花顺全A(沪深京),,,,575.0,1911.0,0.2312952534191472,-1336.0,,,,2016,2016-02,23.12952534191472
2016-02-15,883957.TI,同花顺全A(沪深京),,,,922.0,1568.0,0.3702811244979919,-646.0,,,,2016,2016-02,37.0281124497992
2016-02-16,883957.TI,同花顺全A(沪深京),,,,2518.0,13.0,0.9948636902410116,2505.0,,,,2016,2016-02,99.48636902410117
2016-02-17,883957.TI,同花顺全A(沪深京),,,,2021.0,464.0,0.8132796780684105,1557.0,,,,2016,2016-02,81.32796780684104
2016-02-18,883957.TI,同花顺全A(沪深京),,,,894.0,1601.0,0.358316633266533,-707.0,,,,2016,2016-02,35.831663326653306
2016-02-19,883957.TI,同花顺全A(沪深京),,,,1467.0,987.0,0.597799511002445,480.0,,,,2016,2016-02,59.7799511002445
2016-02-22,883957.TI,同花顺全A(沪深京),,,,2413.0,91.0,0.9636581469648562,2322.0,,,,2016,2016-02,96.3658146964856
2016-02-23,883957.TI,同花顺全A(沪深京),,,,771.0,1717.0,0.3098874598070739,-946.0,,,,2016,2016-02,30.988745980707392
2016-02-24,883957.TI,同花顺全A(沪深京),,,,1385.0,1071.0,0.5639250814332247,314.0,,,,2016,2016-02,56.39250814332247
2016-02-25,883957.TI,同花顺全A(沪深京),,,,47.0,2462.0,0.0187325627740135,-2415.0,,,,2016,2016-02,1.873256277401356
2016-02-26,883957.TI,同花顺全A(沪深京),,,,1256.0,1211.0,0.5091203891366032,45.0,,,,2016,2016-02,50.91203891366032
2016-02-29,883957.TI,同花顺全A(沪深京),,,,124.0,2378.0,0.0495603517186251,-2254.0,,,,2016,2016-02,4.95603517186251
2016-03-01,883957.TI,同花顺全A(沪深京),,,,2268.0,225.0,0.9097472924187726,2043.0,,,,2016,2016-03,90.97472924187726
2016-03-02,883957.TI,同花顺全A(沪深京),,,,2506.0,9.0,0.9964214711729622,2497.0,,,,2016,2016-03,99.64214711729622
2016-03-03,883957.TI,同花顺全A(沪深京),,,,1149.0,1276.0,0.4738144329896907,-127.0,,,,2016,2016-03,47.381443298969074
2016-03-04,883957.TI,同花顺全A(沪深京),,,,366.0,2132.0,0.1465172137710168,-1766.0,,,,2016,2016-03,14.651721377101682
2016-03-07,883957.TI,同花顺全A(沪深京),,,,2360.0,137.0,0.9451341609931918,2223.0,,,,2016,2016-03,94.5134160993192
2016-03-08,883957.TI,同花顺全A(沪深京),,,,1457.0,1003.0,0.5922764227642277,454.0,,,,2016,2016-03,59.22764227642276
2016-03-09,883957.TI,同花顺全A(沪深京),,,,325.0,2172.0,0.1301561874249099,-1847.0,,,,2016,2016-03,13.01561874249099
2016-03-10,883957.TI,同花顺全A(沪深京),,,,292.0,2215.0,0.1164738731551655,-1923.0,,,,2016,2016-03,11.647387315516552
2016-03-11,883957.TI,同花顺全A(沪深京),,,,1121.0,1318.0,0.4596145961459614,-197.0,,,,2016,2016-03,45.961459614596144
2016-03-14,883957.TI,同花顺全A(沪深京),,,,2489.0,32.0,0.9873066243554144,2457.0,,,,2016,2016-03,98.73066243554145
2016-03-15,883957.TI,同花顺全A(沪深京),,,,701.0,1773.0,0.2833468067906224,-1072.0,,,,2016,2016-03,28.334680679062245
2016-03-16,883957.TI,同花顺全A(沪深京),,,,550.0,1935.0,0.221327967806841,-1385.0,,,,2016,2016-03,22.132796780684107
2016-03-17,883957.TI,同花顺全A(沪深京),,,,2489.0,36.0,0.9857425742574256,2453.0,,,,2016,2016-03,98.57425742574256
2016-03-18,883957.TI,同花顺全A(沪深京),,,,2463.0,54.0,0.9785458879618594,2409.0,,,,2016,2016-03,97.85458879618594
2016-03-21,883957.TI,同花顺全A(沪深京),,,,2445.0,61.0,0.975658419792498,2384.0,,,,2016,2016-03,97.5658419792498
2016-03-22,883957.TI,同花顺全A(沪深京),,,,872.0,1608.0,0.3516129032258064,-736.0,,,,2016,2016-03,35.16129032258065
2016-03-23,883957.TI,同花顺全A(沪深京),,,,1788.0,654.0,0.7321867321867321,1134.0,,,,2016,2016-03,73.21867321867322
2016-03-24,883957.TI,同花顺全A(沪深京),,,,511.0,1967.0,0.2062146892655367,-1456.0,,,,2016,2016-03,20.62146892655367
2016-03-25,883957.TI,同花顺全A(沪深京),,,,1761.0,700.0,0.7155627793579845,1061.0,,,,2016,2016-03,71.55627793579845
2016-03-28,883957.TI,同花顺全A(沪深京),,,,809.0,1641.0,0.3302040816326531,-832.0,,,,2016,2016-03,33.02040816326531
2016-03-29,883957.TI,同花顺全A(沪深京),,,,381.0,2103.0,0.1533816425120772,-1722.0,,,,2016,2016-03,15.338164251207727
2016-03-30,883957.TI,同花顺全A(沪深京),,,,2478.0,13.0,0.9947812123645122,2465.0,,,,2016,2016-03,99.47812123645122
2016-03-31,883957.TI,同花顺全A(沪深京),,,,1237.0,1203.0,0.5069672131147541,34.0,,,,2016,2016-03,50.69672131147541
2016-04-01,883957.TI,同花顺全A(沪深京),,,,866.0,1576.0,0.3546273546273546,-710.0,,,,2016,2016-04,35.46273546273546
2016-04-05,883957.TI,同花顺全A(沪深京),,,,2413.0,57.0,0.9769230769230768,2356.0,,,,2016,2016-04,97.6923076923077
2016-04-06,883957.TI,同花顺全A(沪深京),,,,1357.0,1052.0,0.5633042756330428,305.0,,,,2016,2016-04,56.33042756330428
2016-04-07,883957.TI,同花顺全A(沪深京),,,,415.0,2044.0,0.1687677917852785,-1629.0,,,,2016,2016-04,16.876779178527855
2016-04-08,883957.TI,同花顺全A(沪深京),,,,715.0,1741.0,0.2911237785016287,-1026.0,,,,2016,2016-04,29.11237785016287
2016-04-11,883957.TI,同花顺全A(沪深京),,,,2313.0,136.0,0.944467129440588,2177.0,,,,2016,2016-04,94.4467129440588
2016-04-12,883957.TI,同花顺全A(沪深京),,,,729.0,1715.0,0.2982815057283142,-986.0,,,,2016,2016-04,29.828150572831422
2016-04-13,883957.TI,同花顺全A(沪深京),,,,2133.0,323.0,0.868485342019544,1810.0,,,,2016,2016-04,86.8485342019544
2016-04-14,883957.TI,同花顺全A(沪深京),,,,2018.0,422.0,0.8270491803278689,1596.0,,,,2016,2016-04,82.70491803278689
2016-04-15,883957.TI,同花顺全A(沪深京),,,,1019.0,1414.0,0.4188244965063707,-395.0,,,,2016,2016-04,41.88244965063707
2016-04-18,883957.TI,同花顺全A(沪深京),,,,512.0,1945.0,0.2083842083842083,-1433.0,,,,2016,2016-04,20.83842083842084
2016-04-19,883957.TI,同花顺全A(沪深京),,,,1501.0,884.0,0.629350104821803,617.0,,,,2016,2016-04,62.935010482180296
2016-04-20,883957.TI,同花顺全A(沪深京),,,,168.0,2303.0,0.0679886685552408,-2135.0,,,,2016,2016-04,6.79886685552408
2016-04-21,883957.TI,同花顺全A(沪深京),,,,523.0,1931.0,0.213121434392828,-1408.0,,,,2016,2016-04,21.312143439282806
2016-04-22,883957.TI,同花顺全A(沪深京),,,,1901.0,530.0,0.7819827231591937,1371.0,,,,2016,2016-04,78.19827231591937
2016-04-25,883957.TI,同花顺全A(沪深京),,,,868.0,1574.0,0.3554463554463554,-706.0,,,,2016,2016-04,35.54463554463555
2016-04-26,883957.TI,同花顺全A(沪深京),,,,2076.0,357.0,0.8532675709001233,1719.0,,,,2016,2016-04,85.32675709001232
2016-04-27,883957.TI,同花顺全A(沪深京),,,,840.0,1599.0,0.3444034440344403,-759.0,,,,2016,2016-04,34.44034440344404
2016-04-28,883957.TI,同花顺全A(沪深京),,,,888.0,1550.0,0.3642329778506973,-662.0,,,,2016,2016-04,36.42329778506973
2016-04-29,883957.TI,同花顺全A(沪深京),,,,997.0,1417.0,0.4130074565037283,-420.0,,,,2016,2016-04,41.300745650372825
2016-05-03,883957.TI,同花顺全A(沪深京),,,,2460.0,40.0,0.984,2420.0,,,,2016,2016-05,98.4
2016-05-04,883957.TI,同花顺全A(沪深京),,,,1055.0,1377.0,0.4337993421052631,-322.0,,,,2016,2016-05,43.37993421052632
2016-05-05,883957.TI,同花顺全A(沪深京),,,,1622.0,761.0,0.6806546370121695,861.0,,,,2016,2016-05,68.06546370121696
2016-05-06,883957.TI,同花顺全A(沪深京),,,,128.0,2379.0,0.0510570402871958,-2251.0,,,,2016,2016-05,5.105704028719585
2016-05-09,883957.TI,同花顺全A(沪深京),,,,186.0,2319.0,0.074251497005988,-2133.0,,,,2016,2016-05,7.425149700598803
2016-05-10,883957.TI,同花顺全A(沪深京),,,,1257.0,1155.0,0.5211442786069652,102.0,,,,2016,2016-05,52.11442786069652
2016-05-11,883957.TI,同花顺全A(沪深京),,,,724.0,1724.0,0.2957516339869281,-1000.0,,,,2016,2016-05,29.57516339869281
2016-05-12,883957.TI,同花顺全A(沪深京),,,,896.0,1569.0,0.3634888438133874,-673.0,,,,2016,2016-05,36.34888438133874
2016-05-13,883957.TI,同花顺全A(沪深京),,,,864.0,1568.0,0.3552631578947368,-704.0,,,,2016,2016-05,35.526315789473685
2016-05-16,883957.TI,同花顺全A(沪深京),,,,2322.0,152.0,0.9385610347615198,2170.0,,,,2016,2016-05,93.85610347615196
2016-05-17,883957.TI,同花顺全A(沪深京),,,,955.0,1483.0,0.3917145200984413,-528.0,,,,2016,2016-05,39.17145200984413
2016-05-18,883957.TI,同花顺全A(沪深京),,,,179.0,2316.0,0.0717434869739478,-2137.0,,,,2016,2016-05,7.174348697394789
2016-05-19,883957.TI,同花顺全A(沪深京),,,,1600.0,786.0,0.6705783738474435,814.0,,,,2016,2016-05,67.05783738474435
2016-05-20,883957.TI,同花顺全A(沪深京),,,,2115.0,346.0,0.8594067452255181,1769.0,,,,2016,2016-05,85.9406745225518
2016-05-23,883957.TI,同花顺全A(沪深京),,,,2268.0,185.0,0.924582144313086,2083.0,,,,2016,2016-05,92.4582144313086
2016-05-24,883957.TI,同花顺全A(沪深京),,,,553.0,1926.0,0.2230738200887454,-1373.0,,,,2016,2016-05,22.307382008874548
2016-05-25,883957.TI,同花顺全A(沪深京),,,,909.0,1467.0,0.3825757575757575,-558.0,,,,2016,2016-05,38.25757575757576
2016-05-26,883957.TI,同花顺全A(沪深京),,,,1414.0,988.0,0.5886761032472939,426.0,,,,2016,2016-05,58.86761032472939
2016-05-27,883957.TI,同花顺全A(沪深京),,,,1054.0,1341.0,0.4400835073068893,-287.0,,,,2016,2016-05,44.00835073068893
2016-05-30,883957.TI,同花顺全A(沪深京),,,,752.0,1702.0,0.306438467807661,-950.0,,,,2016,2016-05,30.643846780766097
2016-05-31,883957.TI,同花顺全A(沪深京),,,,2511.0,9.0,0.9964285714285714,2502.0,,,,2016,2016-05,99.64285714285714
2016-06-01,883957.TI,同花顺全A(沪深京),,,,1440.0,951.0,0.6022584692597239,489.0,,,,2016,2016-06,60.22584692597239
2016-06-02,883957.TI,同花顺全A(沪深京),,,,1892.0,530.0,0.7811725846407928,1362.0,,,,2016,2016-06,78.11725846407927
2016-06-03,883957.TI,同花顺全A(沪深京),,,,1353.0,1076.0,0.5570193495265542,277.0,,,,2016,2016-06,55.70193495265542
2016-06-06,883957.TI,同花顺全A(沪深京),,,,1169.0,1277.0,0.4779231398201145,-108.0,,,,2016,2016-06,47.79231398201145
2016-06-07,883957.TI,同花顺全A(沪深京),,,,1116.0,1335.0,0.4553243574051407,-219.0,,,,2016,2016-06,45.53243574051408
2016-06-08,883957.TI,同花顺全A(沪深京),,,,820.0,1629.0,0.3348305430788076,-809.0,,,,2016,2016-06,33.483054307880764
2016-06-13,883957.TI,同花顺全A(沪深京),,,,111.0,2415.0,0.0439429928741092,-2304.0,,,,2016,2016-06,4.394299287410926
2016-06-14,883957.TI,同花顺全A(沪深京),,,,1406.0,1019.0,0.5797938144329897,387.0,,,,2016,2016-06,57.97938144329897
2016-06-15,883957.TI,同花顺全A(沪深京),,,,2518.0,15.0,0.9940781681800236,2503.0,,,,2016,2016-06,99.40781681800236
2016-06-16,883957.TI,同花顺全A(沪深京),,,,908.0,1591.0,0.3633453381352541,-683.0,,,,2016,2016-06,36.33453381352541
2016-06-17,883957.TI,同花顺全A(沪深京),,,,1767.0,712.0,0.7127874142799516,1055.0,,,,2016,2016-06,71.27874142799516
2016-06-20,883957.TI,同花顺全A(沪深京),,,,1237.0,1202.0,0.5071750717507175,35.0,,,,2016,2016-06,50.71750717507175
2016-06-21,883957.TI,同花顺全A(沪深京),,,,572.0,1905.0,0.2309245054501413,-1333.0,,,,2016,2016-06,23.092450545014128
