日期,原始开盘价,原始最高价,原始最低价,原始收盘价,昨日收盘价,成交量,成交额,换手率,振幅
2026-07-20,10.83,11.08,10.81,10.96,10.82,25575500,280308100,1.19,2.50
2026-07-21,10.94,11.17,10.80,11.15,10.96,30055500,330890800,1.39,3.38
2026-07-22,11.15,11.93,11.11,11.65,11.15,62888000,731618400,2.92,7.35
2026-07-23,11.64,12.10,11.60,12.10,11.65,51770700,615924200,2.40,4.29
2026-07-24,12.00,12.11,11.70,11.72,12.10,39646300,470292600,1.84,3.39
2026-07-27,11.79,12.58,11.79,12.45,11.72,52816900,649407200,2.45,6.74
2026-07-28,12.28,12.43,12.18,12.29,12.45,35266600,433990100,1.64,2.01
2026-07-29,12.33,12.45,12.01,12.32,12.29,33266400,407251000,1.54,3.58
2026-07-30,12.29,12.60,12.17,12.51,12.32,43502200,539231600,2.02,3.49
2026-07-31,12.20,12.62,12.16,12.41,12.51,43483400,539985900,2.02,3.68
2026-08-03,12.40,12.98,12.32,12.78,12.41,57207000,728978900,2.65,5.32
2026-08-04,12.78,12.88,12.45,12.63,12.78,43919700,552932200,2.04,3.36
2026-08-05,12.51,13.05,12.37,12.91,12.63,56427100,719640200,2.62,5.38
2026-08-06,12.84,12.89,12.50,12.52,12.91,42399600,535280800,1.97,3.02
2026-08-07,12.48,12.58,12.25,12.52,12.52,35367000,439330100,1.64,2.64
2026-08-10,12.54,13.54,12.41,13.28,12.52,76262400,990687200,3.54,9.03
2026-08-11,13.24,13.44,13.03,13.15,13.28,45797400,605931900,2.12,3.09
2026-08-12,13.30,13.38,12.91,13.02,13.15,45144200,592424500,2.09,3.57
2026-08-13,12.94,13.09,12.55,12.60,13.02,46238300,593034500,2.14,4.15
2026-08-14,12.56,12.66,11.34,11.34,12.60,95803000,1119251500,4.44,10.48
2026-08-17,11.10,11.16,10.55,10.97,11.34,62551200,680502800,2.90,5.38
2026-08-18,10.90,11.33,10.86,11.17,10.97,42731100,475854600,1.98,4.28
2026-08-19,11.18,11.21,10.74,10.75,11.17,40955100,444843000,1.90,4.21
