日期,标的代码,标的名称,收盘价,涨跌幅
2026-07-20,sh000001,上证指数,3796.28,0.8536
2026-07-21,sh000001,上证指数,3864.37,1.7936
2026-07-22,sh000001,上证指数,3867.03,0.0688
2026-07-23,sh000001,上证指数,3876.78,0.2521
2026-07-24,sh000001,上证指数,3814.20,-1.6142
2026-07-27,sh000001,上证指数,3858.25,1.1549
2026-07-28,sh000001,上证指数,3813.31,-1.1648
2026-07-29,sh000001,上证指数,3828.47,0.3976
2026-07-30,sh000001,上证指数,3804.69,-0.6211
2026-07-31,sh000001,上证指数,3832.26,0.7246
2026-08-03,sh000001,上证指数,3809.66,-0.5897
2026-08-04,sh000001,上证指数,3822.28,0.3313
2026-08-05,sh000001,上证指数,3878.43,1.4690
2026-08-06,sh000001,上证指数,3900.35,0.5652
2026-08-07,sh000001,上证指数,3940.04,1.0176
2026-08-10,sh000001,上证指数,3966.59,0.6739
2026-08-11,sh000001,上证指数,3934.09,-0.8193
2026-08-12,sh000001,上证指数,3946.68,0.3200
2026-08-13,sh000001,上证指数,3926.96,-0.4997
2026-08-14,sh000001,上证指数,3927.18,0.0056
2026-08-17,sh000001,上证指数,3982.65,1.4125
2026-08-18,sh000001,上证指数,3990.30,0.1921
2026-08-19,sh000001,上证指数,3912.17,-1.9580
2026-07-20,sz399001,深证成指,13610.23,-0.7051
2026-07-21,sz399001,深证成指,14264.29,4.8056
2026-07-22,sz399001,深证成指,14061.44,-1.4221
2026-07-23,sz399001,深证成指,14123.31,0.4400
2026-07-24,sz399001,深证成指,13774.68,-2.4685
2026-07-27,sz399001,深证成指,14148.73,2.7155
2026-07-28,sz399001,深证成指,13509.68,-4.5167
2026-07-29,sz399001,深证成指,13658.44,1.1011
2026-07-30,sz399001,深证成指,13285.80,-2.7283
2026-07-31,sz399001,深证成指,13578.93,2.2063
2026-08-03,sz399001,深证成指,13448.29,-0.9621
2026-08-04,sz399001,深证成指,13885.71,3.2526
2026-08-05,sz399001,深证成指,14144.20,1.8616
2026-08-06,sz399001,深证成指,14110.12,-0.2409
2026-08-07,sz399001,深证成指,14311.01,1.4237
2026-08-10,sz399001,深证成指,14316.96,0.0416
2026-08-11,sz399001,深证成指,14259.44,-0.4018
2026-08-12,sz399001,深证成指,14414.43,1.0869
2026-08-13,sz399001,深证成指,14289.44,-0.8671
2026-08-14,sz399001,深证成指,14354.31,0.4540
2026-08-17,sz399001,深证成指,14704.27,2.4380
2026-08-18,sz399001,深证成指,14622.50,-0.5561
2026-08-19,sz399001,深证成指,14041.76,-3.9716
2026-07-20,sz399006,创业板指,3443.10,0.4220
2026-07-21,sz399006,创业板指,3685.97,7.0538
2026-07-22,sz399006,创业板指,3566.73,-3.2350
2026-07-23,sz399006,创业板指,3575.52,0.2464
2026-07-24,sz399006,创业板指,3480.87,-2.6472
2026-07-27,sz399006,创业板指,3590.79,3.1578
2026-07-28,sz399006,创业板指,3327.03,-7.3455
2026-07-29,sz399006,创业板指,3378.70,1.5530
2026-07-30,sz399006,创业板指,3244.62,-3.9684
2026-07-31,sz399006,创业板指,3343.96,3.0617
2026-08-03,sz399006,创业板指,3302.55,-1.2384
2026-08-04,sz399006,创业板指,3488.97,5.6447
2026-08-05,sz399006,创业板指,3535.14,1.3233
2026-08-06,sz399006,创业板指,3515.56,-0.5539
2026-08-07,sz399006,创业板指,3563.12,1.3528
2026-08-10,sz399006,创业板指,3537.21,-0.7272
2026-08-11,sz399006,创业板指,3549.16,0.3378
2026-08-12,sz399006,创业板指,3602.08,1.4911
2026-08-13,sz399006,创业板指,3586.04,-0.4453
2026-08-14,sz399006,创业板指,3626.30,1.1227
2026-08-17,sz399006,创业板指,3740.16,3.1398
2026-08-18,sz399006,创业板指,3705.56,-0.9251
2026-08-19,sz399006,创业板指,3520.97,-4.9814
2026-07-20,sh000300,沪深300,4598.32,1.5283
2026-07-21,sh000300,沪深300,4739.23,3.0644
2026-07-22,sh000300,沪深300,4717.24,-0.4640
2026-07-23,sh000300,沪深300,4728.00,0.2281
2026-07-24,sh000300,沪深300,4649.19,-1.6669
2026-07-27,sh000300,沪深300,4702.43,1.1451
2026-07-28,sh000300,沪深300,4569.52,-2.8264
2026-07-29,sh000300,沪深300,4600.26,0.6727
2026-07-30,sh000300,沪深300,4549.72,-1.0986
2026-07-31,sh000300,沪深300,4588.20,0.8458
2026-08-03,sh000300,沪深300,4543.18,-0.9812
2026-08-04,sh000300,沪深300,4600.93,1.2711
2026-08-05,sh000300,沪深300,4658.15,1.2437
2026-08-06,sh000300,沪深300,4651.31,-0.1468
2026-08-07,sh000300,沪深300,4694.44,0.9273
2026-08-10,sh000300,沪深300,4702.02,0.1615
2026-08-11,sh000300,沪深300,4663.79,-0.8131
2026-08-12,sh000300,沪深300,4690.92,0.5817
2026-08-13,sh000300,沪深300,4663.95,-0.5749
2026-08-14,sh000300,沪深300,4665.88,0.0414
2026-08-17,sh000300,沪深300,4741.10,1.6121
2026-08-18,sh000300,沪深300,4725.81,-0.3225
2026-08-19,sh000300,沪深300,4611.77,-2.4131
