日期,成交额_亿元,上涨家数,下跌家数,上涨占比_pct_calc,涨跌家数差,涨停家数,跌停家数,涨停跌停差
2026-07-20,27180.749,1740,3709,31.9325,-1969,54,236,-182
2026-07-21,29742.010,3108,2300,57.4704,808,121,26,95
2026-07-22,26686.123,1529,3876,28.2886,-2347,47,9,38
2026-07-23,22094.459,4259,1208,77.9038,3051,128,2,126
2026-07-24,19444.389,555,4939,10.1019,-4384,42,24,18
2026-07-27,20886.813,5195,285,94.7993,4910,121,6,115
2026-07-28,20391.211,2603,2769,48.4550,-166,68,49,19
2026-07-29,23117.159,4253,1214,77.7940,3039,86,9,77
2026-07-30,23584.202,1768,3635,32.7226,-1867,56,76,-20
2026-07-31,25598.983,4691,728,86.5658,3963,101,0,101
2026-08-03,20110.582,4005,1466,73.2042,2539,83,9,74
2026-08-04,22284.431,3642,1747,67.5821,1895,140,1,139
2026-08-05,26798.892,3725,1621,69.6783,2104,104,1,103
2026-08-06,25475.109,2789,2590,51.8498,199,83,1,82
2026-08-07,26834.032,2856,2536,52.9674,320,74,4,70
2026-08-10,25387.108,4068,1391,74.5191,2677,103,5,98
2026-08-11,23355.929,1615,3777,29.9518,-2162,60,2,58
2026-08-12,21671.619,4128,1280,76.3314,2848,96,0,96
2026-08-13,25679.770,1141,4319,20.8974,-3178,62,4,58
2026-08-14,21565.760,2399,2971,44.6741,-572,64,10,54
2026-08-17,24025.098,4335,1064,80.2926,3271,110,1,109
2026-08-18,24197.780,2121,3292,39.1834,-1171,80,5,75
2026-08-19,25110.4252,449,5069,8.1370,-4620,37,119,-82
